run_id,reference,field,reference_value,instrumented_value,equal
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,accuracy,0.24366886527773773,0.24366886527773773,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,callbacks,0,0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,cycles,61566400,61566400,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,drop_rate,0.0,0.0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,emitted,0,0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,fill_per_nodup_issued,0.24988773488128735,0.24988773488128735,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,instructions,25000000,25000000,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,ipc,0.40607,0.40607,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,l2_load_miss,85475,85475,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,l2_load_miss_rate,0.21142995663799777,0.21142995663799777,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,l2_loads,404271,404271,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,late_per_issued,5.149776087735705e-05,5.149776087735705e-05,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,matched,0,0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,merge_per_issued,0.0,0.0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,nodup_accuracy,0.24366886527773773,0.24366886527773773,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,nodup_issued,485458,485458,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_dropped,0,0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_filled,121310,121310,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_issued,485458,485458,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_late,25,25,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_requested,485458,485458,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_useful,118291,118291,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pf_useless,2974,2974,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,pq_merged_duplicate_proxy,0,0,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,request_per_l2_load,1.2008232101733738,1.2008232101733738,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,resolved_fill_utility,0.9754751989444604,0.9754751989444604,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,selected_accuracy,0.24366886527773773,0.24366886527773773,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,timeliness,0.9997887014435918,0.9997887014435918,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,useful_per_l2_miss_self,1.3839251243053525,1.3839251243053525,True
cold_history_h8_i1m,cold_frozen_i1m_h8_s7_state0_mac0,useless_per_issued,0.006126173633970395,0.006126173633970395,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,accuracy,0.007869474847716652,0.007869474847716652,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,callbacks,0,0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,cycles,68889480,68889480,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,drop_rate,0.0,0.0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,emitted,0,0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,fill_per_nodup_issued,0.017619213533093845,0.017619213533093845,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,instructions,25000000,25000000,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,ipc,0.3629,0.3629,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,l2_load_miss,202455,202455,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,l2_load_miss_rate,0.500790311449498,0.500790311449498,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,l2_loads,404271,404271,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,late_per_issued,1.20144654163613e-05,1.20144654163613e-05,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,matched,0,0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,merge_per_issued,0.0,0.0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,nodup_accuracy,0.007869474847716652,0.007869474847716652,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,nodup_issued,166466,166466,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_dropped,0,0,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_filled,2933,2933,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_issued,166466,166466,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_late,2,2,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_requested,166466,166466,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_useful,1310,1310,True
cold_history_h8_i1m_mac16,cold_frozen_i1m_h8_s7_state64_mac16,pf_useless,1607,1607,True
