run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,comparison,reference_run_id,no_pref_run_id,stride_run_id,scale,start_instructions,end_instructions,trace_slice_origin,trace_origin_records_observed,roi_retired_instructions,total_simulated_retired_instructions,trace_record_ordinal,total_eligible_callbacks,total_admitted_decisions,total_completed_decisions,interval_eligible_callbacks,interval_completed_decisions,occupancy_lines,capacity_lines,total_input_drops,total_inference_service_cycles,total_nn_started,total_inference_macs,total_fills_demand,total_fills_prefetch,total_fills_writeback,total_replacements,deployment_configured_kib,deployment_component_peaks_kib,mean_wait_cycles,max_wait_cycles,mean_completion_cycles,max_completion_cycles,mean_prior_state_updates,max_prior_state_updates,state_bytes_observed_peak,weight_kib,snapshot_cohort_redundant_cache,snapshot_cohort_redundant_inflight,snapshot_cohort_pending,snapshot_cohort_resident_unused,instructions,NL,M,M0,P,Ipf,Q,U,L,accuracy_denominator,timeliness_denominator,cycles,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,issue_cohort_enqueued,issue_cohort_timely,issue_cohort_late,issue_cohort_unused,issue_cohort_redundant_cache,issue_cohort_redundant_inflight,issue_cohort_pending,issue_cohort_resident_unused,issue_cohort_censored,cohort_followup,cumulative_cycles,reference_cumulative_cycles,cumulative_cycles_saved_vs_reference,interval_cycles_saved_vs_reference,cumulative_cycles_saved_vs_stride,interval_cycles_saved_vs_stride,reference_instructions,reference_NL,reference_M,reference_M0,reference_P,reference_Ipf,reference_Q,reference_U,reference_L,reference_accuracy_denominator,reference_timeliness_denominator,reference_cycles,reference_ipc,reference_l2_mpki,reference_l2_load_miss_rate,reference_useful_prefetch_coverage,reference_miss_reduction,reference_raw_accuracy,reference_selected_accuracy,reference_legacy_timeliness,reference_request_pressure,quality_status,difference_useful_prefetch_coverage,difference_selected_accuracy,difference_legacy_timeliness,tied_metrics,limiting_metrics,stride_reference_run_id,stride_quality_status,stride_cumulative_cycles_saved_vs_reference,stride_interval_cycles_saved_vs_reference,stride_reference_cumulative_cycles,stride_reference_instructions,stride_reference_NL,stride_reference_M,stride_reference_M0,stride_reference_P,stride_reference_Ipf,stride_reference_Q,stride_reference_U,stride_reference_L,stride_reference_accuracy_denominator,stride_reference_timeliness_denominator,stride_reference_cycles,stride_reference_ipc,stride_reference_l2_mpki,stride_reference_l2_load_miss_rate,stride_reference_useful_prefetch_coverage,stride_reference_miss_reduction,stride_reference_raw_accuracy,stride_reference_selected_accuracy,stride_reference_legacy_timeliness,stride_reference_request_pressure,stride_difference_useful_prefetch_coverage,stride_difference_selected_accuracy,stride_difference_legacy_timeliness,summer_reference_run_id,summer_quality_status,summer_cumulative_cycles_saved_vs_reference,summer_interval_cycles_saved_vs_reference,summer_reference_cumulative_cycles,summer_reference_instructions,summer_reference_NL,summer_reference_M,summer_reference_M0,summer_reference_P,summer_reference_Ipf,summer_reference_Q,summer_reference_U,summer_reference_L,summer_reference_accuracy_denominator,summer_reference_timeliness_denominator,summer_reference_cycles,summer_reference_ipc,summer_reference_l2_mpki,summer_reference_l2_load_miss_rate,summer_reference_useful_prefetch_coverage,summer_reference_miss_reduction,summer_reference_raw_accuracy,summer_reference_selected_accuracy,summer_reference_legacy_timeliness,summer_reference_request_pressure,summer_difference_useful_prefetch_coverage,summer_difference_selected_accuracy,summer_difference_legacy_timeliness
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,stride,cold_stride_h0_s7_state0_mac0,cold_none_h0_s7_state0_mac0,cold_stride_h0_s7_state0_mac0,interval_100k,11800000.0,11900000.0,25000000,25000000,11900000.0,11900000.0,36900000.0,192367.0,192367.0,192367.0,1814.0,1814.0,4096.0,4096.0,0.0,0,192367,988782848,40214,57897,0,94015,NA,37.078125,NA,NA,NA,NA,NA,NA,9440,20.390625,153627,20209,2,192,100000.0,1814.0,542.0,1088.0,2268.0,2268.0,0.0,547.0,26.0,2268.0,573.0,281561.0,0.3551628243968447,5.42,0.298787210584344,0.5027573529411765,0.5018382352941176,0.24118165784832452,0.24118165784832452,0.9546247818499127,1.2502756339581036,2268,546,26,94,1320,282,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,29262492.0,32679659.0,3417167.0,35913.0,3417167.0,35913.0,100000.0,1814.0,924.0,1088.0,709.0,709.0,0.0,165.0,48.0,709.0,213.0,317474.0,0.31498642408512195,9.24,0.5093715545755237,0.15165441176470587,0.15073529411764705,0.23272214386459802,0.23272214386459802,0.7746478873239436,0.3908489525909592,EXCEEDS,0.35110294117647056,0.00845951398372649,0.17997689452596907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_frozen_i20m_h16_s7_state0_mac0,cold,16,i20m,0,0,stride,cold_stride_h0_s7_state0_mac0,cold_none_h0_s7_state0_mac0,cold_stride_h0_s7_state0_mac0,cumulative,0,2600000.0,25000000,25000000,2600000.0,2600000.0,27600000.0,41990.0,41990.0,41990.0,41990.0,41990.0,4096.0,4096.0,0.0,0,41990,206666464,8969,12714,0,17587,NA,37.078125,NA,NA,NA,NA,NA,NA,9280,20.390625,22549,4416,0,75,2600000.0,41990.0,8969.0,21410.0,39679.0,39679.0,0.0,12441.0,0.0,39679.0,12441.0,6390877.0,0.40682992334228935,3.4496153846153845,0.213598475827578,0.5810836057916862,0.5810836057916862,0.3135411678721742,0.3135411678721742,1.0,0.9449630864491546,39679,12449,0,263,22549,4416,0,2,2,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,6390877.0,7150579.0,759702.0,759702.0,759702.0,759702.0,2600000.0,41990.0,17724.0,21410.0,12385.0,12385.0,0.0,3686.0,1.0,12385.0,3687.0,7150579.0,0.36360691910403337,6.816923076923077,0.42210050011907596,0.1721625408687529,0.1721625408687529,0.29761808639483245,0.29761808639483245,0.9997287767832926,0.29495117885210764,EXCEEDS,0.40892106492293323,0.015923081477341738,0.00027122321670735016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_frozen_i20m_h16_s7_state0_mac0,cold,16,i20m,0,0,stride,cold_stride_h0_s7_state0_mac0,cold_none_h0_s7_state0_mac0,cold_stride_h0_s7_state0_mac0,interval_100k,4800000.0,4900000.0,25000000,25000000,4900000.0,4900000.0,29900000.0,79094.0,79094.0,79094.0,1604.0,1604.0,4096.0,4096.0,0.0,0,79094,389723392,16510,23847,0,36261,NA,37.078125,NA,NA,NA,NA,NA,NA,9280,20.390625,43128,8287,1,63,100000.0,1604.0,316.0,793.0,1556.0,1556.0,0.0,477.0,0.0,1556.0,477.0,242831.0,0.41180903591386603,3.16,0.1970074812967581,0.6015132408575031,0.6015132408575031,0.3065552699228792,0.3065552699228792,1.0,0.970074812967581,1556,476,0,6,914,160,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,12015714.0,13453433.0,1437719.0,30295.0,1437719.0,30295.0,100000.0,1604.0,656.0,793.0,501.0,501.0,0.0,137.0,1.0,501.0,138.0,273126.0,0.3661313825853269,6.56,0.4089775561097257,0.17276166456494324,0.17276166456494324,0.27345309381237526,0.27345309381237526,0.9927536231884058,0.3123441396508728,EXCEEDS,0.4287515762925599,0.03310217611050393,0.007246376811594203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_frozen_i20m_h16_s7_state0_mac0,cold,16,i20m,0,0,stride,cold_stride_h0_s7_state0_mac0,cold_none_h0_s7_state0_mac0,cold_stride_h0_s7_state0_mac0,interval_1m,2000000.0,3000000.0,25000000,25000000,3000000.0,3000000.0,28000000.0,48453.0,48453.0,48453.0,16133.0,16133.0,4096.0,4096.0,0.0,0,48453,238567344,10280,14649,0,20833,NA,37.078125,NA,NA,NA,NA,NA,NA,9280,20.390625,26154,5092,0,67,1000000.0,16133.0,3273.0,8001.0,15498.0,15498.0,0.0,4728.0,0.0,15498.0,4728.0,2441322.0,0.409614135292272,3.273,0.2028760924812496,0.5909261342332208,0.5909261342332208,0.3050716221447929,0.3050716221447929,1.0,0.960639682638071,15498,4738,0,100,8980,1680,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,7368910.0,8245786.0,876876.0,294175.0,876876.0,294175.0,1000000.0,16133.0,6622.0,8001.0,4635.0,4635.0,0.0,1379.0,1.0,4635.0,1380.0,2735497.0,0.36556428319972567,6.622,0.4104630260955805,0.17235345581802275,0.17235345581802275,0.2975188781014024,0.2975188781014024,0.9992753623188406,0.2872993243662059,EXCEEDS,0.4185726784151981,0.007552744043390503,0.0007246376811594203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold_frozen_i20m_h8_s7_state0_mac0,cold,8,i20m,0,0,stride,cold_stride_h0_s7_state0_mac0,cold_none_h0_s7_state0_mac0,cold_stride_h0_s7_state0_mac0,interval_100k,7800000.0,7900000.0,25000000,25000000,7900000.0,7900000.0,32900000.0,127566.0,127566.0,127566.0,1617.0,1617.0,4096.0,4096.0,0.0,0,127566,230107160,27290,37698,0,60892,NA,17.578125,NA,NA,NA,NA,NA,NA,5664,7.453125,89011,14141,0,74,100000.0,1617.0,349.0,809.0,1801.0,1801.0,0.0,460.0,0.0,1801.0,460.0,247808.0,0.40353822314049587,3.49,0.21583178726035868,0.5686032138442522,0.5686032138442522,0.25541365907828983,0.25541365907828983,1.0,1.113790970933828,1801,465,0,22,1127,187,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,19434600.0,21673947.0,2239347.0,27044.0,2239347.0,27044.0,100000.0,1617.0,673.0,809.0,534.0,534.0,0.0,136.0,1.0,534.0,137.0,274852.0,0.36383217149593233,6.73,0.41620284477427333,0.1681087762669963,0.1681087762669963,0.2546816479400749,0.2546816479400749,0.9927007299270073,0.3302411873840445,EXCEEDS,0.4004944375772559,0.0007320111382149326,0.0072992700729927005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,stride,historical_stride,historical_none,historical_stride,cumulative,0,20500000.0,25000000,25000004,20500000.0,45500004.0,45500004.0,331714.0,331714.0,331714.0,331714.0,331714.0,4096.0,4096.0,0.0,0,331714,591563888,70527,99286,0,169815,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,202457,34826,0,45,20500000.0,331714.0,70527.0,167038.0,336595.0,336595.0,0.0,96509.0,26.0,336595.0,96535.0,50110216.0,0.4090982166191421,3.4403414634146343,0.21261387822039468,0.5777667357128318,0.5777787090362672,0.28672143079962564,0.28672143079962564,0.9997306676335008,1.014714482958211,336595,96515,26,2769,202457,34826,0,2,2,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,50110216.0,55241442.0,5131226.0,5131226.0,5131226.0,5131226.0,20500000.0,331714.0,138448.0,167038.0,99855.0,99855.0,0.0,28590.0,161.0,99855.0,28751.0,55241442.0,0.3710982055826855,6.753560975609756,0.417371591190001,0.1711586585088423,0.1711586585088423,0.28631515697761756,0.28631515697761756,0.9944001947758339,0.3010273910657976,EXCEEDS,0.4066080772039895,0.00040627382200811746,0.0053304728576669185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,summer,historical_replay_h8_i20m,historical_none,historical_stride,cumulative,0,18300000.0,25000000,25000004,18300000.0,43300004.0,43300004.0,296254.0,296254.0,296254.0,296254.0,296254.0,4096.0,4096.0,0.0,0,296254,531190208,63261,88705,0,151968,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,193278,31165,1,39,18300000.0,296254.0,63261.0,149395.0,313175.0,313175.0,0.0,86132.0,26.0,313175.0,86158.0,44738763.0,0.4090412602601462,3.4568852459016393,0.21353635731500673,0.5765387061146625,0.5765520934435556,0.2750283387882175,0.2750283387882175,0.9996982288353954,1.0571165283844268,313175,86139,26,2565,193278,31165,0,2,2,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,44738763.0,44703900.0,-34863.0,-34863.0,4499177.0,4499177.0,18300000.0,296254.0,63792.0,149395.0,311265.0,311265.0,0.0,85603.0,91.0,311265.0,85694.0,44703900.0,0.4093602571587714,3.485901639344262,0.21532873817737483,0.5729977576224103,0.5729977576224103,0.2750164650699565,0.2750164650699565,0.998938082012743,1.0506693580508617,EXCEEDS,0.003540948492252083,1.1873718260982346e-05,0.0007601468226524204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,stride_and_summer,,historical_none,historical_stride,cumulative,0,20500000.0,25000000,25000004,20500000.0,45500004.0,45500004.0,331714.0,331714.0,331714.0,331714.0,331714.0,4096.0,4096.0,0.0,0,331714,591563888,70527,99286,0,169815,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,202457,34826,0,45,20500000.0,331714.0,70527.0,167038.0,336595.0,336595.0,0.0,96509.0,26.0,336595.0,96535.0,50110216.0,0.4090982166191421,3.4403414634146343,0.21261387822039468,0.5777667357128318,0.5777787090362672,0.28672143079962564,0.28672143079962564,0.9997306676335008,1.014714482958211,336595,96515,26,2769,202457,34826,0,2,2,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,50110216.0,,,,5131226.0,5131226.0,,,,,,,,,,,,,,,,,,,,,,EXCEEDS,,,,,,historical_stride,EXCEEDS,5131226.0,5131226.0,55241442.0,20500000.0,331714.0,138448.0,167038.0,99855.0,99855.0,0.0,28590.0,161.0,99855.0,28751.0,55241442.0,0.3710982055826855,6.753560975609756,0.417371591190001,0.1711586585088423,0.1711586585088423,0.28631515697761756,0.28631515697761756,0.9944001947758339,0.3010273910657976,0.4066080772039895,0.00040627382200811746,0.0053304728576669185,historical_replay_h8_i20m,EXCEEDS,-25433.0,-25433.0,50084783.0,20500000.0,331714.0,71200.0,167038.0,350139.0,350139.0,0.0,95839.0,92.0,350139.0,95931.0,50084783.0,0.40930595626220445,3.473170731707317,0.21464273440373333,0.5737556723619776,0.5737496857002599,0.27371700953050077,0.27371700953050077,0.9990409773691508,1.0555448368172582,0.004011063350854297,0.013004421269124919,0.0006896902643500591
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,stride,historical_stride,historical_none,historical_stride,interval_100k,13800000.0,13900000.0,25000000,25000004,13900000.0,38900004.0,38900004.0,225328.0,225328.0,225328.0,1597.0,1597.0,4096.0,4096.0,0.0,0,225328,410447216,48649,67528,0,116179,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,174982,23859,0,125,100000.0,1597.0,316.0,794.0,1028.0,1028.0,0.0,477.0,0.0,1028.0,477.0,244200.0,0.4095004095004095,3.16,0.19787100814026298,0.6007556675062973,0.6020151133501259,0.46400778210116733,0.46400778210116733,1.0,0.6437069505322479,1028,476,0,3,390,159,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,33974563.0,37228917.0,3254354.0,36155.0,3254354.0,36155.0,100000.0,1597.0,654.0,794.0,500.0,500.0,0.0,139.0,2.0,500.0,141.0,280355.0,0.356690624386938,6.54,0.4095178459611772,0.17506297229219145,0.17632241813602015,0.278,0.278,0.9858156028368794,0.31308703819661865,EXCEEDS,0.4256926952141058,0.1860077821011673,0.014184397163120567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,summer,historical_replay_h8_i20m,historical_none,historical_stride,interval_100k,19500000.0,19600000.0,25000000,25000004,19600000.0,44600004.0,44600004.0,317207.0,317207.0,317207.0,1625.0,1625.0,4096.0,4096.0,0.0,0,317207,566870712,67556,94950,0,162508,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,198730,33335,0,56,100000.0,1625.0,347.0,814.0,1112.0,1112.0,0.0,467.0,0.0,1112.0,467.0,251001.0,0.39840478723192335,3.47,0.21353846153846154,0.5737100737100738,0.5737100737100738,0.4199640287769784,0.4199640287769784,1.0,0.6843076923076923,1112,467,0,14,463,168,0,0,0,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,47918478.0,47891160.0,-27318.0,847.0,4877435.0,29738.0,100000.0,1625.0,356.0,814.0,1809.0,1809.0,0.0,458.0,1.0,1809.0,459.0,251848.0,0.3970648962866491,3.56,0.21907692307692309,0.5626535626535627,0.5626535626535627,0.2531785516860144,0.2531785516860144,0.9978213507625272,1.1132307692307692,EXCEEDS,0.011056511056511056,0.16678547709096406,0.002178649237472767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_frozen_i1m_h8_s7_state0_mac0,historical,8,i1m,0,0,stride,historical_stride,historical_none,historical_stride,interval_1m,13000000.0,14000000.0,25000000,25000004,14000000.0,39000004.0,39000004.0,226959.0,226959.0,226959.0,16459.0,16459.0,4096.0,4096.0,0.0,0,226959,413237080,48994,68020,0,117016,NA,NA,NA,NA,NA,NA,NA,NA,4896,7.453125,175445,24037,1,97,1000000.0,16459.0,4315.0,9043.0,14898.0,14898.0,0.0,4728.0,11.0,14898.0,4739.0,2639532.0,0.3788550394539638,4.315,0.2621665957834619,0.5228353422536769,0.5228353422536769,0.31735803463552154,0.31735803463552154,0.997678835197299,0.9051582720699921,14898,4721,11,379,7825,1961,0,1,1,outcomes observed by run end; censored pending/resident-unused; separate from legacy interval counters,34224127.0,37508779.0,3284652.0,306081.0,3284652.0,306081.0,1000000.0,16459.0,7638.0,9043.0,4772.0,4772.0,0.0,1405.0,16.0,4772.0,1421.0,2945613.0,0.3394879096473298,7.638,0.46406221520140956,0.15536879354196617,0.15536879354196617,0.29442581726739314,0.29442581726739314,0.9887403237156932,0.28993255969378456,EXCEEDS,0.3674665487117107,0.02293221736812842,0.008938511481605835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
