run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,scale,comparison,quality_status,first_recorded_instructions,start_window_instructions,first_eligible_l2,first_admitted_l2,first_completed_l2,preceding_recorded_instructions,recorded_points,exit_at_instructions,exit_status,last_recorded_instructions,last_eligible_l2,last_admitted_l2,last_completed_l2,sampled_instruction_span,covered_window_instructions,exit_limiting_metrics
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,stride,NA,1000.0,0,30.0,30.0,30.0,NA,1,10000.0,NOT_EXCEEDS,1000.0,30.0,30.0,30.0,0.0,NA,selected_accuracy;legacy_timeliness
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,stride,NOT_EXCEEDS,10000.0,0,172.0,172.0,172.0,1000.0,251,NA,NA,25000000.0,404271.0,404271.0,404271.0,24990000.0,NA,
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,summer,MISSING_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,stride_and_summer,MISSING_OR_UNDEFINED_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,offline_same_checkpoint,MISSING_REFERENCE,1000.0,0,30.0,30.0,30.0,NA,252,NA,NA,25000000.0,404271.0,404271.0,404271.0,24999000.0,NA,
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,NOT_EXCEEDS,100000.0,0.0,1659.0,1659.0,1659.0,NA,112,11300000.0,NONLOWER_WITH_TIE,11200000.0,180848.0,180848.0,180848.0,11100000.0,11200000.0,legacy_timeliness
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,NONLOWER_WITH_TIE,11300000.0,11200000.0,182449.0,182449.0,182449.0,11200000.0,1,11400000.0,NOT_EXCEEDS,11300000.0,182449.0,182449.0,182449.0,0.0,100000.0,selected_accuracy;legacy_timeliness
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,NOT_EXCEEDS,11400000.0,11300000.0,184077.0,184077.0,184077.0,11300000.0,5,11900000.0,EXCEEDS,11800000.0,190553.0,190553.0,190553.0,400000.0,500000.0,
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,EXCEEDS,11900000.0,11800000.0,192367.0,192367.0,192367.0,11800000.0,1,12000000.0,NOT_EXCEEDS,11900000.0,192367.0,192367.0,192367.0,0.0,100000.0,selected_accuracy
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,NOT_EXCEEDS,12000000.0,11900000.0,194056.0,194056.0,194056.0,11900000.0,131,NA,NA,25000000.0,404271.0,404271.0,404271.0,13000000.0,13100000.0,
