run_id,protocol,hidden_size,checkpoint,state_capacity,macs_per_cycle,scale,comparison,sampled_points,strictly_exceeding_points,joint_win_intervals,status,first_recorded_instructions,first_eligible_l2,first_admitted_l2,first_completed_l2,last_recorded_instructions,final_quality_status,limiting_metric_counts,measurement
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,stride,252,0,0,NOT_REACHED_IN_MEASURED_RANGE,NA,NA,NA,NA,25000000.0,NOT_EXCEEDS,"{""legacy_timeliness"": 27, ""selected_accuracy"": 251}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,summer,252,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_REFERENCE,"{""legacy_timeliness"": 252, ""selected_accuracy"": 252, ""useful_prefetch_coverage"": 252}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,stride_and_summer,252,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_OR_UNDEFINED_REFERENCE,"{""stride:legacy_timeliness"": 27, ""stride:selected_accuracy"": 251, ""summer:legacy_timeliness"": 252, ""summer:selected_accuracy"": 252, ""summer:useful_prefetch_coverage"": 252}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,cumulative,offline_same_checkpoint,252,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_REFERENCE,"{""legacy_timeliness"": 252, ""selected_accuracy"": 252, ""useful_prefetch_coverage"": 252}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride,250,1,1,OBSERVED,11900000.0,192367.0,192367.0,192367.0,25000000.0,NOT_EXCEEDS,"{""legacy_timeliness"": 211, ""selected_accuracy"": 248}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,summer,250,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_REFERENCE,"{""legacy_timeliness"": 250, ""selected_accuracy"": 250, ""useful_prefetch_coverage"": 250}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,stride_and_summer,250,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_OR_UNDEFINED_REFERENCE,"{""stride:legacy_timeliness"": 211, ""stride:selected_accuracy"": 248, ""summer:legacy_timeliness"": 250, ""summer:selected_accuracy"": 250, ""summer:useful_prefetch_coverage"": 250}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_100k,offline_same_checkpoint,250,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_REFERENCE,"{""legacy_timeliness"": 250, ""selected_accuracy"": 250, ""useful_prefetch_coverage"": 250}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_1m,stride,25,0,0,NOT_REACHED_IN_MEASURED_RANGE,NA,NA,NA,NA,25000000.0,NOT_EXCEEDS,"{""legacy_timeliness"": 6, ""selected_accuracy"": 25}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
cold_frozen_i1m_h16_s7_state0_mac0,cold,16,i1m,0,0,interval_1m,summer,25,0,0,INSUFFICIENT_REFERENCE_DATA,NA,NA,NA,NA,25000000.0,MISSING_REFERENCE,"{""legacy_timeliness"": 25, ""selected_accuracy"": 25, ""useful_prefetch_coverage"": 25}",exact matching retained milestones; strict > in coverage/selected accuracy/legacy timeliness; no minimum-history claim
