run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,final,instructions,cycles,trace_origin_records,trace_records_read,NL,M,callback_loads,callback_load_misses,P,Ipf,Q,U,L,pf_filled,pf_useless,pf_dropped,l2_sets,l2_ways,line_bytes,capacity_lines,capacity_bytes,occupancy_lines,occupancy_peak,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,invalidations,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,pq_occupancy,mshr_occupancy,cohort_enqueued,cohort_timely,cohort_late,cohort_unused,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_unresolved_lifecycles,measurement_unresolved_lifecycles_peak,decoder_dropped_addresses,eligible_l2_callbacks,inference_dropped,inference_macs,inference_nonlinears,inference_scratch_traffic_bytes,inference_service_cycles,nn_admitted,nn_completed,nn_started,numerical_failures,output_dropped_addresses,peak_decoded_addresses,peak_input_queue,peak_output_queue,peak_state_entries,state_evictions,input_queue,output_queue,inference_inflight,state_entries,weight_bytes,h,macs_per_cycle,weight_bandwidth_bytes_per_cycle,state_entry_bytes,state_bytes_peak,state_bytes_configured,inference_scratch_bytes,active_event_metadata_bytes,decoded_result_bytes_configured,decoded_result_bytes_peak,input_queue_bytes_configured,output_queue_bytes_configured,input_queue_bytes_peak,output_queue_bytes_peak,eligible_callbacks,l2_capacity_lines,pf_requested,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,pf_issued,decoder_limit_drops,l2_loads,pq_merged_duplicate_proxy,pf_late,completed_decisions,host_seconds,simulator_wall_seconds,simulator_peak_rss_kib,mean_inference_macs,mean_inference_nonlinears
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,61497175.0,25000000,25000000,404271,85022,404271,85022,487444,487444,0,118744,99,122123.0,3329.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,85022,2,122123,0,203051,0,203051,231343622150,199722,227696395984,118744,448247148,0,0,487444,118744,99,3329,322363,42859,0,50,50,242,0,404271,0,2078283680,62938496,322178784,0,404271,404271,404271,0.0,0,2,1,2,92,0.0,0,0,0,92,20880,16,0,0,160,14720,0,2176,56,512,32,896,768,56,48,404271.0,4096.0,487444.0,0.0,118744.0,404271.0,85022.0,0.0,487444.0,0.0,404271.0,0.0,99.0,404271.0,107.73374653421342,107.73374653421342,10760,5140.818114581555,155.68392489196603
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,61566400.0,25000000,25000000,404271,85475,404271,85475,485458,485458,0,118291,25,121310.0,2974.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,85475,2,121310,0,202691,0,202691,231618815294,199717,228305095911,118291,439679883,0,0,485458,118291,25,2974,321748,42375,0,45,45,227,0,404271,0,738113176,31784207,270384432,0,404271,404271,404271,0.0,0,2,1,2,92,0.0,0,0,0,92,7632,8,0,0,96,8832,0,1344,56,512,32,896,768,56,48,404271.0,4096.0,485458.0,0.0,118291.0,404271.0,85475.0,0.0,485458.0,0.0,404271.0,0.0,25.0,404271.0,104.30109764821827,104.30109764821827,10748,1825.788087693651,78.62104133118626
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,snapshot,True,25000000.0,61566690.0,25000000,25000000,404271,85477,404271,85477,485437,485437,0,118288,25,121304.0,2971.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,85477,2,121304,0,202687,0,202687,231615836609,199716,228306031111,118288,439155642,0,0,485437,118288,25,2971,321736,42372,0,45,45,226,0,404271,0,738108392,31783672,270383928,0,404271,404271,404271,0.0,0,2,1,2,64,30.0,0,0,0,64,7632,8,0,0,96,6144,6144,1344,56,512,32,896,768,56,48,404271.0,4096.0,485437.0,0.0,118288.0,404271.0,85477.0,0.0,485437.0,0.0,404271.0,0.0,25.0,404271.0,106.8752641491592,106.8752641491592,10952,1825.7762540474089,78.61971796146643
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,snapshot,True,25000000.0,68889480.0,25000000,25000000,404271,202455,404271,202455,166466,166466,0,1310,2,2933.0,1607.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,202455,2,2933,0,201294,0,201294,259978922315,199687,257813276146,1310,111888884,0,0,166466,1310,2,1607,163529,2,0,16,16,127,0,404271,252192,273956592,11543972,101315552,68888246,152079,152062,152063,0.0,0,2,16,2,63,0.0,16,0,1,63,7632,8,16,64,96,6048,6144,1344,56,512,32,896,768,896,48,404271.0,4096.0,166466.0,252192.0,1310.0,152079.0,202455.0,0.0,166466.0,0.0,404271.0,0.0,2.0,152062.0,115.89603252336383,115.89603252336383,10912,1801.5992845070793,75.91571914272374
cold_frozen_i1m_h8_s7_state64_mac4,frozen,cold,final,8,7,i1m,64,4,25000000,25000000,25000000,snapshot,True,25000000.0,68958057.0,25000000,25000000,404271,203238,404271,203238,91858,91858,0,526,6,1607.0,1071.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,203238,2,1607,0,200751,0,200751,260273351025,199680,258912065023,526,52077542,0,0,91858,526,6,1071,90241,4,0,10,10,71,0,404271,320163,151454968,6378859,56023520,68958580,84108,84091,84092,0.0,0,2,16,2,57,0.0,16,0,1,57,7632,8,4,16,96,5472,6144,1344,56,512,32,896,768,896,48,404271.0,4096.0,91858.0,320163.0,526.0,84108.0,203238.0,0.0,91858.0,0.0,404271.0,0.0,6.0,84091.0,107.87449700012803,107.87449700012803,10920,1801.0627408076869,75.85571754744804
cold_frozen_i20m_h16_s7_state0_mac0,frozen,cold,final,16,7,i20m,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,61452480.0,25000000,25000000,404271,84784,404271,84784,432486,432486,0,118982,108,123592.0,4556.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,84784,2,123592,0,204282,0,204282,231173750576,199726,226259203489,118982,413931637,0,0,432486,118982,108,4556,264963,43823,0,54,54,384,0,404271,0,2032126912,60218572,320859792,0,404271,404271,404271,0.0,0,2,1,2,92,0.0,0,0,0,92,20880,16,0,0,160,14720,0,2176,56,512,32,896,768,56,48,404271.0,4096.0,432486.0,0.0,118982.0,404271.0,84784.0,0.0,432486.0,0.0,404271.0,0.0,108.0,404271.0,105.59128569625318,105.59128569625318,10992,5026.645275075382,148.95595281383032
cold_frozen_i20m_h8_s7_state0_mac0,frozen,cold,final,8,7,i20m,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,61538423.0,25000000,25000000,404271,86101,404271,86101,457373,457373,0,117666,98,122053.0,4334.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,86101,2,122053,0,204060,0,204060,231579498092,199726,226943576163,117666,433689898,0,0,457373,117666,98,4334,290092,45130,0,53,53,392,0,404271,0,731729224,31070468,269710392,0,404271,404271,404271,0.0,0,2,1,2,92,0.0,0,0,0,92,7632,8,0,0,96,8832,0,1344,56,512,32,896,768,56,48,404271.0,4096.0,457373.0,0.0,117666.0,404271.0,86101.0,0.0,457373.0,0.0,404271.0,0.0,98.0,404271.0,105.88111502677202,105.88111502677202,10988,1809.996818965496,76.85554491912603
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,68963505.0,25000000,25000000,404271,203764,404271,203764,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,203764,2,0,0,199670,0,199670,260298937687,199670,260298937687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404271,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404271.0,4096.0,0.0,0.0,0.0,0.0,203764.0,0.0,0.0,0.0,404271.0,0.0,0.0,0.0,103.94635465741158,103.94635465741158,10256,NA,NA
cold_stride_h0_s7_state0_mac0,stride,cold,final,0,7,,0,0,25000000,25000000,25000000,snapshot,True,25000000.0,68497725.0,25000000,25000000,404271,168865,404271,168865,121020,121020,0,34900,168,35439.0,535.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,168865,2,35439,0,200210,0,200210,258534252682,199675,257906528822,34900,51057374,0,0,121020,34900,168,535,50484,34929,0,4,4,60,0,404271,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404271.0,4096.0,121020.0,0.0,34900.0,0.0,168865.0,0.0,121020.0,0.0,404271.0,0.0,168.0,0.0,106.26426592282951,106.26426592282951,10336,NA,NA
historical_frozen_i1m_h16_s7_state0_mac0,frozen,historical,final,16,7,i1m,0,0,25000000,25000000,25000004,snapshot,True,25000003.0,61014571.0,25000004,50000259,404219,84667,404219,84667,488663,488663,0,118463,58,121987.0,3484.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,84667,2,121987,0,206656,0,202568,211082933550,199084,207234666740,118463,599545538,0,1,488663,118463,58,3484,323805,42812,1,40,41,304,0,404219,0,2079092976,62993844,322168104,0,404219,404219,404219,0.0,0,,1,2,51,0.0,0,0,0,51,20880,16,0,0,160,8160,0,2176,56,512,,896,768,56,48,404219.0,4096.0,488663.0,0.0,118463.0,404219.0,84667.0,0.0,488663.0,0.0,404219.0,0.0,58.0,404219.0,154.39391775242984,154.39391775242984,11212,5143.481568159834,155.84087833575364
