run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,event,final,instructions,cycles,trace_origin_records,trace_records_read,NL,M,callback_loads,callback_load_misses,P,Ipf,Q,U,L,pf_filled,pf_useless,pf_dropped,l2_sets,l2_ways,line_bytes,capacity_lines,capacity_bytes,occupancy_lines,occupancy_peak,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,invalidations,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,pq_occupancy,mshr_occupancy,cohort_enqueued,cohort_timely,cohort_late,cohort_unused,cohort_redundant_cache,cohort_redundant_inflight,cohort_pending,cohort_resident_unused,measurement_unresolved_lifecycles,measurement_unresolved_lifecycles_peak,decoder_dropped_addresses,eligible_l2_callbacks,inference_dropped,inference_macs,inference_nonlinears,inference_service_cycles,nn_admitted,nn_completed,numerical_failures,output_dropped_addresses,peak_input_queue,peak_output_queue,peak_state_entries,state_evictions,input_queue,output_queue,inference_inflight,state_entries,weight_bytes,h,macs_per_cycle,weight_bandwidth_bytes_per_cycle,state_entry_bytes,state_bytes_peak,state_bytes_configured,inference_scratch_bytes,active_event_metadata_bytes,decoded_result_bytes_configured,decoded_result_bytes_peak,input_queue_bytes_configured,output_queue_bytes_configured,input_queue_bytes_peak,output_queue_bytes_peak,eligible_callbacks,l2_capacity_lines,pf_requested,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,pf_issued,decoder_limit_drops,l2_loads,pq_merged_duplicate_proxy,pf_late,completed_decisions,inference_scratch_traffic_bytes,nn_started,peak_decoded_addresses
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,0.0,0.0,25000000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,512.0,8.0,64,4096,262144,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,20880,16,0,0,160,0,0,2176,56,512,0,896,768,0,0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,1000.0,5332.0,25000000,1252,30,25,30,25,15,15,0,5,0,6.0,0.0,0.0,512.0,8.0,64,4096,262144,31.0,31,25,0,6,0,0,0,0,0,0,0,5,2322,0,0,15,5,0,0,2,7,0,1,1,4,0,30,0,136464,3624,0,30,30,0.0,0,1,2,18,0.0,0,0,0,18,20880,16,0,0,160,2880,0,2176,56,512,32,896,768,56,48,30.0,4096.0,15.0,0.0,5.0,30.0,25.0,0.0,15.0,0.0,30.0,0.0,0.0,30.0,23400,30,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,10000.0,28866.0,25000000,10252,172,88,172,88,185,185,0,84,0,90.0,0.0,0.0,512.0,8.0,64,4096,262144,178.0,178,88,0,90,0,0,0,0,0,0,0,84,44846,0,0,185,84,0,0,55,40,0,6,6,7,0,172,0,865440,25671,0,172,172,0.0,0,1,2,18,0.0,0,0,0,18,20880,16,0,0,160,2880,0,2176,56,512,32,896,768,56,48,172.0,4096.0,185.0,0.0,84.0,172.0,88.0,0.0,185.0,0.0,172.0,0.0,0.0,172.0,136536,172,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,100000.0,275905.0,25000000,100252,1659,625,1659,625,1922,1922,0,777,0,793.0,0.0,0.0,512.0,8.0,64,4096,262144,1418.0,1418,625,0,793,0,0,0,0,0,0,0,777,835094,0,0,1922,777,0,0,834,295,0,16,16,19,0,1659,0,8462864,254405,0,1659,1659,0.0,0,1,2,54,0.0,0,0,0,54,20880,16,0,0,160,8640,0,2176,56,512,32,896,768,56,48,1659.0,4096.0,1922.0,0.0,777.0,1659.0,625.0,0.0,1922.0,0.0,1659.0,0.0,0.0,1659.0,1320240,1659,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,200000.0,519857.0,25000000,200254,3266,954,3266,954,3848,3848,0,1249,0,1276.0,0.0,0.0,512.0,8.0,64,4096,262144,2230.0,2230,954,0,1276,0,0,0,0,0,0,0,1249,1496424,0,0,3848,1249,0,0,2113,459,0,27,27,30,0,3266,0,16714400,504014,0,3266,3266,0.0,0,1,2,54,0.0,0,0,0,54,20880,16,0,0,160,8640,0,2176,56,512,32,896,768,56,48,3266.0,4096.0,3848.0,0.0,1249.0,3266.0,954.0,0.0,3848.0,0.0,3266.0,0.0,0.0,3266.0,2600640,3266,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,300000.0,760373.0,25000000,300255,4873,1275,4873,1275,5778,5778,0,1723,0,1756.0,0.0,0.0,512.0,8.0,64,4096,262144,3027.0,3027,1275,0,1756,0,4,0,4,2784784,4,2784784,1723,2176094,0,1,5778,1723,0,0,3399,622,1,33,34,38,0,4873,0,24969296,753821,0,4873,4873,0.0,0,1,2,54,0.0,0,0,0,54,20880,16,0,0,160,8640,0,2176,56,512,32,896,768,56,48,4873.0,4096.0,5778.0,0.0,1723.0,4873.0,1275.0,0.0,5778.0,0.0,4873.0,0.0,0.0,4873.0,3881136,4873,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,400000.0,1004551.0,25000000,400252,6496,1599,6496,1599,7724,7724,0,2199,0,2241.0,1.0,0.0,512.0,8.0,64,4096,262144,3772.0,3772,1599,0,2241,0,68,0,68,57108460,67,56212870,2199,3015754,0,0,7724,2199,0,1,4696,787,0,41,41,45,0,6496,0,33303680,1005956,0,6496,6496,0.0,0,1,2,55,0.0,0,0,0,55,20880,16,0,0,160,8800,0,2176,56,512,32,896,768,56,48,6496.0,4096.0,7724.0,0.0,2199.0,6496.0,1599.0,0.0,7724.0,0.0,6496.0,0.0,0.0,6496.0,5174304,6496,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,500000.0,1247053.0,25000000,500253,8100,1919,8100,1919,9658,9658,0,2673,0,2719.0,1.0,0.0,512.0,8.0,64,4096,262144,4090.0,4090,1919,0,2719,0,548,0,548,540874760,547,539979170,2673,3816579,0,0,9658,2673,0,1,5992,947,0,45,45,47,0,8100,0,41549552,1255673,0,8100,8100,0.0,0,1,2,55,0.0,0,0,0,55,20880,16,0,0,160,8800,0,2176,56,512,32,896,768,56,48,8100.0,4096.0,9658.0,0.0,2673.0,8100.0,1919.0,0.0,9658.0,0.0,8100.0,0.0,0.0,8100.0,6452592,8100,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,600000.0,1491431.0,25000000,600255,9726,2244,9726,2244,11620,11620,0,3149,0,3201.0,10.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,2244,0,3201,0,1349,0,1349,1391134838,1339,1381793526,3149,6054798,0,0,11620,3149,0,10,7307,1112,0,42,42,48,0,9726,0,49909760,1508888,0,9726,9726,0.0,0,1,2,55,0.0,0,0,0,55,20880,16,0,0,160,8800,0,2176,56,512,32,896,768,56,48,9726.0,4096.0,11620.0,0.0,3149.0,9726.0,2244.0,0.0,11620.0,0.0,9726.0,0.0,0.0,9726.0,7748448,9726,2
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,snapshot,False,700000.0,1735112.0,25000000,700252,11335,2570,11335,2570,13568,13568,0,3623,0,3682.0,15.0,0.0,512.0,8.0,64,4096,262144,4096.0,4096,2570,0,3682,0,2156,0,2156,2234533135,2141,2220236908,3623,7225390,0,0,13568,3623,0,15,8610,1276,0,44,44,48,0,11335,0,58188032,1759778,0,11335,11335,0.0,0,1,2,55,0.0,0,0,0,55,20880,16,0,0,160,8800,0,2176,56,512,32,896,768,56,48,11335.0,4096.0,13568.0,0.0,3623.0,11335.0,2570.0,0.0,13568.0,0.0,11335.0,0.0,0.0,11335.0,9030912,11335,2
