run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,eligible_callbacks,pf_requested,pf_filled,pf_dropped,input_drops,pf_useful,admitted_decisions,l2_load_miss,output_drops,state_evictions,pf_issued,numerical_failures,decoder_limit_drops,l2_loads,instructions,pf_useless,pq_merged_duplicate_proxy,cycles,pf_late,completed_decisions,window,start_instructions,end_instructions,cumulative_cycles,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,window_cycles_saved_vs_stride,cumulative_cycles_saved_vs_stride,total_eligible_callbacks,total_admitted_decisions,total_completed_decisions,total_state_evictions,total_input_drops,total_output_drops,total_decoder_limit_drops,total_numerical_failures
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1659.0,1922.0,793.0,0.0,0.0,777.0,1659.0,625.0,0.0,0.0,1922.0,0.0,0.0,1659.0,100000.0,0.0,0.0,275905.0,0.0,1659.0,1,0.0,100000.0,275905.0,0.3624435947155724,6.25,0.3767329716696805,0.5542082738944365,0.5542082738944365,0.40426638917793967,0.40426638917793967,1.0,1.1585292344786016,51943.0,51943.0,1659.0,1659.0,1659.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1607.0,1926.0,483.0,0.0,0.0,472.0,1607.0,329.0,0.0,0.0,1926.0,0.0,0.0,1607.0,100000.0,0.0,0.0,243952.0,0.0,1607.0,2,100000.0,200000.0,519857.0,0.40991670492555915,3.29,0.20472930927193528,0.5892634207240949,0.5892634207240949,0.245067497403946,0.245067497403946,1.0,1.1985065339141256,27921.0,79864.0,3266.0,3266.0,3266.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1607.0,1930.0,480.0,0.0,0.0,474.0,1607.0,321.0,0.0,0.0,1930.0,0.0,0.0,1607.0,100000.0,0.0,0.0,240516.0,0.0,1607.0,3,200000.0,300000.0,760373.0,0.4157727552428944,3.21,0.1997510889856876,0.5962264150943396,0.5962264150943396,0.24559585492227978,0.24559585492227978,1.0,1.2009956440572496,27188.0,107052.0,4873.0,4873.0,4873.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1623.0,1946.0,485.0,0.0,0.0,476.0,1623.0,324.0,0.0,0.0,1946.0,0.0,0.0,1623.0,100000.0,1.0,0.0,244178.0,0.0,1623.0,4,300000.0,400000.0,1004551.0,0.40953730475308997,3.24,0.19963031423290203,0.595,0.595,0.2446043165467626,0.2446043165467626,1.0,1.1990141712877387,29541.0,136593.0,6496.0,6496.0,6496.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1604.0,1934.0,478.0,0.0,0.0,474.0,1604.0,320.0,0.0,0.0,1934.0,0.0,0.0,1604.0,100000.0,0.0,0.0,242502.0,0.0,1604.0,5,400000.0,500000.0,1247053.0,0.4123677330496243,3.2,0.19950124688279303,0.5969773299748111,0.5969773299748111,0.2450879007238883,0.2450879007238883,1.0,1.2057356608478802,29455.0,166048.0,8100.0,8100.0,8100.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1626.0,1962.0,482.0,0.0,0.0,476.0,1626.0,325.0,0.0,0.0,1962.0,0.0,0.0,1626.0,100000.0,9.0,0.0,244378.0,0.0,1626.0,6,500000.0,600000.0,1491431.0,0.4092021376719672,3.25,0.1998769987699877,0.5942571785268415,0.5942571785268415,0.24260958205912334,0.24260958205912334,1.0,1.2066420664206643,30795.0,196843.0,9726.0,9726.0,9726.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1609.0,1948.0,481.0,0.0,0.0,474.0,1609.0,326.0,0.0,0.0,1948.0,0.0,0.0,1609.0,100000.0,5.0,0.0,243681.0,0.0,1609.0,7,600000.0,700000.0,1735112.0,0.410372577262897,3.26,0.20261031696706028,0.5925,0.5925,0.2433264887063655,0.2433264887063655,1.0,1.2106898694841517,29750.0,226593.0,11335.0,11335.0,11335.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1628.0,1958.0,481.0,0.0,0.0,471.0,1628.0,333.0,0.0,0.0,1958.0,0.0,0.0,1628.0,100000.0,3.0,0.0,246718.0,0.0,1628.0,8,700000.0,800000.0,1981830.0,0.405321054807513,3.33,0.20454545454545456,0.585820895522388,0.585820895522388,0.24055158324821246,0.24055158324821246,1.0,1.2027027027027026,30264.0,256857.0,12963.0,12963.0,12963.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1600.0,1968.0,478.0,0.0,0.0,477.0,1600.0,316.0,0.0,0.0,1968.0,0.0,0.0,1599.0,100000.0,5.0,0.0,239986.0,0.0,1600.0,9,800000.0,900000.0,2221816.0,0.416690973640129,3.16,0.19762351469668543,0.6015132408575031,0.6015132408575031,0.2423780487804878,0.2423780487804878,1.0,1.2307692307692308,28164.0,285021.0,14563.0,14563.0,14563.0,0.0,0.0,0.0,0.0,0.0
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,1633.0,1960.0,481.0,0.0,0.0,474.0,1633.0,331.0,0.0,0.0,1960.0,0.0,0.0,1633.0,100000.0,8.0,0.0,246257.0,0.0,1633.0,10,900000.0,1000000.0,2468073.0,0.4060798271724256,3.31,0.20269442743417024,0.5888198757763975,0.5888198757763975,0.24183673469387756,0.24183673469387756,1.0,1.2002449479485608,29963.0,314984.0,16196.0,16196.0,16196.0,0.0,0.0,0.0,0.0,0.0
