x,occupancy,replacement_turnovers,updates,censored_requests
0.0,0.0,0.0,0,0.0
0.001,0.732421875,0.0,0,0.0
0.01,4.19921875,0.0,2.0,0.0
0.1,34.228515625,0.0,25.0,0.0
0.2,54.5654296875,0.0,51.0,35.0
0.3,74.1455078125,0.0009765625,76.0,44.0
0.4,92.333984375,0.02099609375,101.0,70.0
0.5,99.853515625,0.14013671875,126.0,72.0
0.6,100.0,0.333740234375,151.0,59.0
0.7,100.0,0.529541015625,177.0,50.0
0.8,100.0,0.726806640625,202.0,40.0
0.9,100.0,0.920654296875,227.0,32.0
1.0,100.0,1.1181640625,253.0,29.0
1.1,100.0,1.313232421875,278.0,31.0
1.2,100.0,1.50927734375,303.0,31.0
1.3,100.0,1.706298828125,328.0,35.0
1.4,100.0,1.902587890625,353.0,37.0
1.5,100.0,2.099609375,379.0,36.0
1.6,100.0,2.29345703125,404.0,40.0
1.7,100.0,2.498291015625,429.0,45.0
1.8,100.0,2.6962890625,454.0,47.0
1.9,100.0,2.89306640625,479.0,49.0
2.0,100.0,3.09326171875,505.0,52.0
2.1,100.0,3.28759765625,530.0,48.0
2.2,100.0,3.487060546875,555.0,58.0
2.3,100.0,3.6826171875,580.0,51.0
2.4,100.0,3.883544921875,605.0,65.0
2.5,100.0,4.08251953125,631.0,76.0
2.6,100.0,4.28662109375,656.0,95.0
2.7,100.0,4.4921875,681.0,115.0
2.8,100.0,4.689208984375,706.0,110.0
2.9,100.0,4.884033203125,732.0,104.0
3.0,100.0,5.08154296875,757.0,93.0
3.1,100.0,5.277587890625,782.0,70.0
3.2,100.0,5.47021484375,807.0,62.0
3.3,100.0,5.66748046875,832.0,65.0
3.4,100.0,5.86474609375,857.0,64.0
3.5,100.0,6.05859375,882.0,58.0
3.6,100.0,6.26123046875,908.0,74.0
3.7,100.0,6.46826171875,933.0,101.0
3.8,100.0,6.666015625,958.0,99.0
3.9,100.0,6.865478515625,983.0,107.0
4.0,100.0,7.064453125,1008.0,100.0
4.1,100.0,7.269775390625,1034.0,114.0
4.2,100.0,7.4677734375,1059.0,99.0
4.3,100.0,7.669921875,1084.0,100.0
4.4,100.0,7.8662109375,1109.0,89.0
4.5,100.0,8.06494140625,1135.0,88.0
4.6,100.0,8.263916015625,1160.0,84.0
4.7,100.0,8.462158203125,1185.0,85.0
4.8,100.0,8.662109375,1210.0,72.0
4.9,100.0,8.857666015625,1235.0,71.0
5.0,100.0,9.065185546875,1261.0,80.0
5.1,100.0,9.26806640625,1286.0,85.0
5.2,100.0,9.47021484375,1311.0,90.0
5.3,100.0,9.675048828125,1336.0,104.0
5.4,100.0,9.87744140625,1361.0,107.0
5.5,100.0,10.08203125,1387.0,105.0
5.6,100.0,10.28125,1412.0,101.0
5.7,100.0,10.4853515625,1438.0,108.0
5.8,100.0,10.6884765625,1463.0,112.0
5.9,100.0,10.8896484375,1488.0,107.0
6.0,100.0,11.091552734375,1513.0,111.0
6.1,100.0,11.288330078125,1538.0,101.0
6.2,100.0,11.492431640625,1563.0,95.0
6.3,100.0,11.68896484375,1588.0,74.0
6.4,100.0,11.89599609375,1614.0,84.0
6.5,100.0,12.0986328125,1639.0,86.0
6.6,100.0,12.299072265625,1664.0,84.0
6.7,100.0,12.50341796875,1690.0,90.0
6.8,100.0,12.701416015625,1715.0,80.0
6.9,100.0,12.904052734375,1741.0,76.0
7.0,100.0,13.1025390625,1766.0,75.0
7.1,100.0,13.29833984375,1791.0,72.0
7.2,100.0,13.50146484375,1816.0,73.0
7.3,100.0,13.701416015625,1841.0,76.0
7.4,100.0,13.902099609375,1867.0,83.0
7.5,100.0,14.100341796875,1892.0,79.0
7.6,100.0,14.30126953125,1917.0,81.0
7.7,100.0,14.495849609375,1942.0,69.0
7.8,100.0,14.693115234375,1967.0,60.0
7.9,100.0,14.896240234375,1993.0,69.0
8.0,100.0,15.091796875,2018.0,59.0
8.1,100.0,15.29443359375,2043.0,67.0
8.2,100.0,15.494873046875,2068.0,69.0
8.3,100.0,15.69384765625,2094.0,72.0
8.4,100.0,15.890869140625,2119.0,65.0
8.5,100.0,16.088623046875,2144.0,60.0
8.6,100.0,16.300537109375,2169.0,76.0
8.7,100.0,16.4990234375,2195.0,73.0
8.8,100.0,16.7021484375,2220.0,79.0
8.9,100.0,16.903564453125,2245.0,88.0
9.0,100.0,17.102294921875,2270.0,81.0
9.1,100.0,17.300048828125,2295.0,78.0
9.2,100.0,17.49853515625,2320.0,73.0
9.3,100.0,17.698974609375,2346.0,73.0
9.4,100.0,17.895263671875,2371.0,60.0
9.5,100.0,18.09326171875,2396.0,59.0
9.6,100.0,18.292724609375,2421.0,55.0
9.7,100.0,18.493896484375,2447.0,56.0
9.8,100.0,18.693359375,2472.0,62.0
9.9,100.0,18.89599609375,2497.0,72.0
10.0,100.0,19.099609375,2523.0,79.0
10.1,100.0,19.298095703125,2548.0,80.0
10.2,100.0,19.496337890625,2573.0,72.0
10.3,100.0,19.6943359375,2598.0,67.0
10.4,100.0,19.893310546875,2623.0,65.0
10.5,100.0,20.089599609375,2649.0,58.0
10.6,100.0,20.2861328125,2674.0,61.0
10.7,100.0,20.48828125,2699.0,56.0
10.8,100.0,20.683837890625,2724.0,52.0
10.9,100.0,20.884521484375,2750.0,57.0
11.0,100.0,21.08154296875,2775.0,62.0
11.1,100.0,21.281982421875,2800.0,61.0
11.2,100.0,21.480224609375,2825.0,61.0
11.3,100.0,21.68115234375,2850.0,71.0
11.4,100.0,21.88427734375,2876.0,76.0
11.5,100.0,22.097412109375,2901.0,95.0
11.6,100.0,22.339599609375,2927.0,170.0
11.7,100.0,22.542724609375,2952.0,163.0
11.8,100.0,22.74072265625,2977.0,154.0
11.9,100.0,23.026123046875,3005.0,190.0
12.0,100.0,23.2861328125,3032.0,235.0
12.1,100.0,23.50634765625,3057.0,236.0
12.2,100.0,23.7392578125,3083.0,240.0
12.3,100.0,23.938232421875,3108.0,195.0
12.4,100.0,24.143798828125,3134.0,148.0
12.5,100.0,24.353271484375,3159.0,115.0
12.6,100.0,24.551513671875,3184.0,93.0
12.7,100.0,24.82958984375,3211.0,172.0
12.8,100.0,25.0732421875,3237.0,222.0
12.9,100.0,25.336181640625,3264.0,274.0
13.0,100.0,25.53955078125,3289.0,244.0
13.1,100.0,25.738037109375,3314.0,192.0
13.2,100.0,25.936279296875,3339.0,140.0
13.3,100.0,26.219482421875,3365.0,241.0
13.4,100.0,26.41650390625,3390.0,215.0
13.5,100.0,26.8466796875,3421.0,264.0
13.6,100.0,27.05078125,3446.0,236.0
13.7,100.0,27.2509765625,3471.0,208.0
13.8,100.0,27.46435546875,3496.0,183.0
13.9,100.0,27.658935546875,3521.0,135.0
14.0,100.0,27.863037109375,3547.0,107.0
14.1,100.0,28.06201171875,3572.0,90.0
14.2,100.0,28.269775390625,3596.0,101.0
14.3,100.0,28.470947265625,3622.0,99.0
14.4,100.0,28.66552734375,3647.0,89.0
14.5,100.0,28.865234375,3672.0,82.0
14.6,100.0,29.060302734375,3697.0,63.0
14.7,100.0,29.261962890625,3723.0,60.0
14.8,100.0,29.45947265625,3748.0,59.0
14.9,100.0,29.65673828125,3773.0,62.0
15.0,100.0,29.85888671875,3798.0,68.0
15.1,100.0,30.056640625,3823.0,63.0
15.2,100.0,30.26513671875,3848.0,81.0
15.3,100.0,30.464599609375,3873.0,89.0
15.4,100.0,30.66015625,3899.0,76.0
15.5,100.0,30.858154296875,3924.0,75.0
15.6,100.0,31.053466796875,3949.0,67.0
15.7,100.0,31.25048828125,3974.0,52.0
15.8,100.0,31.447265625,3999.0,47.0
15.9,100.0,31.64794921875,4025.0,56.0
16.0,100.0,31.84619140625,4050.0,52.0
16.1,100.0,32.044677734375,4075.0,61.0
16.2,100.0,32.242431640625,4100.0,60.0
16.3,100.0,32.442626953125,4126.0,64.0
16.4,100.0,32.6376953125,4151.0,59.0
16.5,100.0,32.83837890625,4176.0,63.0
16.6,100.0,33.038330078125,4201.0,65.0
16.7,100.0,33.2373046875,4226.0,65.0
16.8,100.0,33.436767578125,4251.0,65.0
16.9,100.0,33.6337890625,4277.0,58.0
17.0,100.0,33.835693359375,4302.0,64.0
17.1,100.0,34.0322265625,4327.0,63.0
17.2,100.0,34.235107421875,4352.0,61.0
17.3,100.0,34.434814453125,4377.0,60.0
17.4,100.0,34.630859375,4403.0,57.0
17.5,100.0,34.83056640625,4428.0,52.0
17.6,100.0,35.028076171875,4453.0,46.0
17.7,100.0,35.2265625,4478.0,51.0
17.8,100.0,35.4267578125,4503.0,54.0
17.9,100.0,35.625,4529.0,52.0
18.0,100.0,35.82470703125,4554.0,48.0
18.1,100.0,36.020263671875,4579.0,45.0
18.2,100.0,36.216552734375,4604.0,42.0
18.3,100.0,36.412109375,4629.0,37.0
18.4,100.0,36.611083984375,4655.0,42.0
18.5,100.0,36.80810546875,4680.0,43.0
18.6,100.0,37.005126953125,4705.0,44.0
18.7,100.0,37.20654296875,4730.0,51.0
18.8,100.0,37.40185546875,4755.0,51.0
18.9,100.0,37.598876953125,4780.0,40.0
19.0,100.0,37.794677734375,4805.0,40.0
19.1,100.0,37.990478515625,4831.0,38.0
19.2,100.0,38.187744140625,4856.0,40.0
19.3,100.0,38.38232421875,4881.0,35.0
19.4,100.0,38.58203125,4906.0,34.0
19.5,100.0,38.778564453125,4931.0,37.0
19.6,100.0,38.981689453125,4957.0,49.0
19.7,100.0,39.178466796875,4982.0,50.0
19.8,100.0,39.380615234375,5007.0,54.0
19.9,100.0,39.577880859375,5032.0,54.0
20.0,100.0,39.775146484375,5057.0,52.0
20.1,100.0,39.97412109375,5083.0,58.0
20.2,100.0,40.1728515625,5108.0,55.0
20.3,100.0,40.37158203125,5133.0,48.0
20.4,100.0,40.566650390625,5158.0,45.0
20.5,100.0,40.768310546875,5183.0,48.0
20.6,100.0,40.96484375,5208.0,44.0
20.7,100.0,41.160400390625,5233.0,46.0
20.8,100.0,41.36083984375,5259.0,46.0
20.9,100.0,41.557861328125,5284.0,46.0
21.0,100.0,41.755126953125,5309.0,48.0
21.1,100.0,41.954833984375,5334.0,45.0
21.2,100.0,42.153076171875,5360.0,48.0
21.3,100.0,42.347900390625,5385.0,41.0
21.4,100.0,42.546142578125,5410.0,41.0
21.5,100.0,42.749267578125,5435.0,50.0
21.6,100.0,42.9443359375,5460.0,47.0
21.7,100.0,43.144775390625,5485.0,39.0
21.8,100.0,43.344482421875,5510.0,44.0
21.9,100.0,43.543701171875,5536.0,47.0
22.0,100.0,43.739013671875,5560.0,46.0
22.1,100.0,43.93701171875,5586.0,47.0
22.2,100.0,44.137939453125,5611.0,55.0
22.3,100.0,44.333740234375,5636.0,54.0
22.4,100.0,44.535888671875,5662.0,58.0
22.5,100.0,44.732177734375,5687.0,49.0
22.6,100.0,44.934814453125,5712.0,52.0
22.7,100.0,45.13330078125,5737.0,54.0
22.8,100.0,45.330810546875,5762.0,46.0
22.9,100.0,45.530517578125,5787.0,55.0
23.0,100.0,45.727294921875,5813.0,53.0
23.1,100.0,45.9287109375,5838.0,52.0
23.2,100.0,46.127685546875,5863.0,49.0
23.3,100.0,46.32861328125,5888.0,55.0
23.4,100.0,46.526611328125,5913.0,55.0
23.5,100.0,46.721435546875,5938.0,53.0
23.6,100.0,46.921142578125,5964.0,57.0
23.7,100.0,47.1181640625,5989.0,54.0
23.8,100.0,47.3173828125,6014.0,50.0
23.9,100.0,47.51318359375,6039.0,43.0
24.0,100.0,47.711181640625,6065.0,47.0
24.1,100.0,47.906982421875,6090.0,35.0
24.2,100.0,48.102294921875,6115.0,32.0
24.3,100.0,48.299560546875,6140.0,32.0
24.4,100.0,48.494873046875,6165.0,34.0
24.5,100.0,48.69140625,6190.0,37.0
24.6,100.0,48.88818359375,6215.0,36.0
24.7,100.0,49.08642578125,6241.0,37.0
24.8,100.0,49.2802734375,6266.0,30.0
24.9,100.0,49.47509765625,6291.0,28.0
25.0,100.0,49.673583984375,6316.0,34.0
