run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,training_admitted,training_dropped,publications_during_inference,peak_state_entries,peak_teacher_queue,macs_per_cycle,weight_bandwidth_bytes_per_cycle,inference_macs,inference_nonlinears,training_forward_macs,training_modeled_macs,training_modeled_nonlinears,inference_service_cycles,training_service_cycles,publication_cycles,teacher_calls,teacher_tag_comparison_bound,max_tbptt_span,peak_padded_positions,peak_inflight_updates,peak_input_queue,peak_output_queue,peak_training_queue,inference_scratch_traffic_bytes,training_state_traffic_bytes,input_queue,output_queue,training_queue,inference_inflight,update_inflight,callback_loads,callback_load_misses,capacity_bytes,capacity_lines,line_bytes,l2_sets,l2_ways,fills_load,fills_rfo,fills_prefetch,fills_writeback,replacements,occupancy_peak,line_lifetimes,line_lifetime_cycles,useful_line_lifetimes,useful_line_lifetime_cycles,prefetch_useful_lifetimes,prefetch_fill_to_first_demand_cycles,eligible_callbacks,admitted_decisions,completed_decisions,supervised_decisions,available_positive_decisions,positive_actions,completed_updates,training_sample_exposures,published_versions,state_evictions,input_drops,output_drops,training_drops,decoder_limit_drops,numerical_failures,peak_effective_same_lifetime_tbptt_span,peak_padded_projection_positions,total_padded_projection_positions,trainer_available_decisions,trainer_available_positive_decisions,training_action_exposures,last_loss,last_gradient_l2,last_gate_class_weights,class_balance_history,optimizer,learning_rate,library_threads,host_seconds,simulator_wall_seconds,simulator_peak_rss_kib,nn_started,updates_started,mean_inference_macs,mean_inference_nonlinears,mean_update_macs,mean_update_nonlinears,worker_host_elapsed_seconds_since_initialization,worker_host_cpu_seconds,worker_peak_rss_bytes,worker_rss_scope
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,0,0,NA,92,0,0,0,2078283680,62938496,0,0,0,0,0,0,0,0,0,0,0,1,2,0,322178784,NA,0,0,0,0,0,404271,85022,262144,4096,64,512.0,8.0,85022,2,122123,0,203051,4096,203051,231343622150,199722,227696395984,118744,448247148,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.73374653421342,107.73374653421342,10760,404271,NA,5140.818114581555,155.68392489196603,NA,NA,,,,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,0,0,NA,92,0,0,0,738113176,31784207,0,0,0,0,0,0,0,0,0,0,0,1,2,0,270384432,NA,0,0,0,0,0,404271,85475,262144,4096,64,512.0,8.0,85475,2,121310,0,202691,4096,202691,231618815294,199717,228305095911,118291,439679883,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.30109764821827,104.30109764821827,10748,404271,NA,1825.788087693651,78.62104133118626,NA,NA,,,,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,0,0,NA,64,0,0,0,738108392,31783672,0,0,0,0,0,0,0,0,0,0,0,1,2,0,270383928,NA,0,0,0,0,0,404271,85477,262144,4096,64,512.0,8.0,85477,2,121304,0,202687,4096,202687,231615836609,199716,228306031111,118288,439155642,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.8752641491592,106.8752641491592,10952,404271,NA,1825.7762540474089,78.61971796146643,NA,NA,,,,
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,0,0,NA,63,0,16,64,273956592,11543972,0,0,0,68888246,0,0,0,0,0,0,0,16,2,0,101315552,NA,16,0,0,1,0,404271,202455,262144,4096,64,512.0,8.0,202455,2,2933,0,201294,4096,201294,259978922315,199687,257813276146,1310,111888884,404271.0,152079.0,152062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252192.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.89603252336383,115.89603252336383,10912,152063,NA,1801.5992845070793,75.91571914272374,NA,NA,,,,
cold_frozen_i1m_h8_s7_state64_mac4,frozen,cold,final,8,7,i1m,64,4,25000000,25000000,25000000,0,0,NA,57,0,4,16,151454968,6378859,0,0,0,68958580,0,0,0,0,0,0,0,16,2,0,56023520,NA,16,0,0,1,0,404271,203238,262144,4096,64,512.0,8.0,203238,2,1607,0,200751,4096,200751,260273351025,199680,258912065023,526,52077542,404271.0,84108.0,84091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320163.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.87449700012803,107.87449700012803,10920,84092,NA,1801.0627408076869,75.85571754744804,NA,NA,,,,
cold_frozen_i20m_h16_s7_state0_mac0,frozen,cold,final,16,7,i20m,0,0,25000000,25000000,25000000,0,0,NA,92,0,0,0,2032126912,60218572,0,0,0,0,0,0,0,0,0,0,0,1,2,0,320859792,NA,0,0,0,0,0,404271,84784,262144,4096,64,512.0,8.0,84784,2,123592,0,204282,4096,204282,231173750576,199726,226259203489,118982,413931637,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.59128569625318,105.59128569625318,10992,404271,NA,5026.645275075382,148.95595281383032,NA,NA,,,,
cold_frozen_i20m_h8_s7_state0_mac0,frozen,cold,final,8,7,i20m,0,0,25000000,25000000,25000000,0,0,NA,92,0,0,0,731729224,31070468,0,0,0,0,0,0,0,0,0,0,0,1,2,0,269710392,NA,0,0,0,0,0,404271,86101,262144,4096,64,512.0,8.0,86101,2,122053,0,204060,4096,204060,231579498092,199726,226943576163,117666,433689898,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.88111502677202,105.88111502677202,10988,404271,NA,1809.996818965496,76.85554491912603,NA,NA,,,,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,404271,203764,262144,4096,64,512.0,8.0,203764,2,0,0,199670,4096,199670,260298937687,199670,260298937687,0,0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.94635465741158,103.94635465741158,10256,NA,NA,NA,NA,NA,NA,,,,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,1998172176,58217649,2356790784,7070372352,349466424,0,0,0,404271,25873344,41,576,1,1,3,64,319889808,1467817600,0,0,47,0,0,404271,100378,262144,4096,64,512.0,8.0,100378,2,106850,0,203134,4096,203134,235571403651,199709,231446045481,103391,304244675,404271.0,404271.0,404271.0,404271.0,62624.0,122922.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,689817,404224,62616,122906,0.09031158685684204,0.16956800692534907,"[0.5916489362716675, 3.2278010845184326]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,253.008381921798,253.008381921798,11256,404271,6316,4942.655238688899,144.00649316918603,1119438.3077897404,55330.33945535149,253.83947400189936,131.65195,295682048,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h16_s27_state0_mac0,scratch,cold,final,16,27,,0,0,25000000,25000000,25000000,404271,0,NA,92,1,0,0,1972481888,56703851,2359487840,7078463520,349446486,0,0,0,404271,25873344,41,576,1,1,2,64,319155048,1468588352,0,0,47,0,0,404271,107721,262144,4096,64,512.0,8.0,107721,2,99156,0,202783,4096,202783,237894809597,199703,234329586357,96045,303987608,404271.0,404271.0,404271.0,404271.0,62298.0,122261.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,41,576,691405,404224,62290,122245,0.07554639130830765,0.20031476766217873,"[0.5910848379135132, 3.244694232940674]",only labels received in already-observed admitted training batches; unit weights until both classes,Adam,0.002,1,251.43497155606747,251.43497155606747,11008,404271,6316,4879.108043861667,140.26198020634672,1120719.366687777,55327.182710576315,252.29432398453355,129.631717,297758720,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
