run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,category,configured_max_bytes,observed_peak_bytes,configured_max_kib,observed_peak_kib,scope,note
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,active FP32 weights,20880,20880,20.390625,20.390625,required logical predictor/trainer storage,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",NA,14720,NA,14.375,required logical predictor/trainer storage,UNBOUNDED configured maximum
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,inference scratch,2176,2176,2.125,2.125,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,active event metadata,56,56,0.0546875,0.0546875,required logical predictor/trainer storage,fixed active packet reservation
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,decoded delta/address result payload,512,32,0.5,0.03125,required logical predictor/trainer storage,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,input queue,896,56,0.875,0.0546875,required logical predictor/trainer storage,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,output queue,768,48,0.75,0.046875,required logical predictor/trainer storage,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,shadow Stride / conventional Stride state,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,teacher label availability queue,0,0,0.0,0.0,required logical predictor/trainer storage,"48-byte reserved hardware packets per occupied entry; current co-simulation availability Label uses 24 bytes, excluding host deque overhead"
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,active FP32 weights,7632,7632,7.453125,7.453125,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",NA,8832,NA,8.625,required logical predictor/trainer storage,UNBOUNDED configured maximum
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,inference scratch,1344,1344,1.3125,1.3125,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,active event metadata,56,56,0.0546875,0.0546875,required logical predictor/trainer storage,fixed active packet reservation
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,decoded delta/address result payload,512,32,0.5,0.03125,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,input queue,896,56,0.875,0.0546875,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,output queue,768,48,0.75,0.046875,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,shadow Stride / conventional Stride state,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,teacher label availability queue,0,0,0.0,0.0,required logical predictor/trainer storage,"48-byte reserved hardware packets per occupied entry; current co-simulation availability Label uses 24 bytes, excluding host deque overhead"
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,active FP32 weights,7632,7632,7.453125,7.453125,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",6144,6144,6.0,6.0,required logical predictor/trainer storage,exact-PC entries; logical packed metadata plus FP32 h/c
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,inference scratch,1344,1344,1.3125,1.3125,required logical predictor/trainer storage,"fixed arithmetic workspace reservation, not a sampled allocator peak"
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,active event metadata,56,56,0.0546875,0.0546875,required logical predictor/trainer storage,fixed active packet reservation
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,decoded delta/address result payload,512,32,0.5,0.03125,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,input queue,896,56,0.875,0.0546875,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,output queue,768,48,0.75,0.046875,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,shadow Stride / conventional Stride state,0,0,0.0,0.0,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,teacher label availability queue,0,0,0.0,0.0,required logical predictor/trainer storage,"48-byte reserved hardware packets per occupied entry; current co-simulation availability Label uses 24 bytes, excluding host deque overhead"
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,active FP32 weights,7632,7632,7.453125,7.453125,required logical predictor/trainer storage,
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,"PC tags, valid/replacement metadata and h/c",6144,6048,6.0,5.90625,required logical predictor/trainer storage,exact-PC entries; logical packed metadata plus FP32 h/c
