run_id,arm,hidden_size,seed,state_capacity,service_case,inference_configured_bytes,inference_peak_envelope_bytes,training_configured_bytes,training_peak_envelope_bytes
cold_frozen_i1m_h16_s7_state0_mac0,frozen,16,7,0,0,NA,37968.0,0.0,0.0
cold_frozen_i1m_h8_s7_state0_mac0,frozen,8,7,0,0,NA,18000.0,0.0,0.0
cold_frozen_i1m_h8_s7_state64_mac0,frozen,8,7,64,0,17352.0,15312.0,0.0,0.0
cold_frozen_i1m_h8_s7_state64_mac16,frozen,8,7,64,16,17352.0,16056.0,0.0,0.0
cold_frozen_i1m_h8_s7_state64_mac4,frozen,8,7,64,4,17352.0,15480.0,0.0,0.0
cold_online_random_h16_s7_state0_mac0,scratch,16,7,0,0,NA,38008.0,2787872.0,527648.0
cold_online_random_h8_s7_state0_mac0,scratch,8,7,0,0,NA,18000.0,1664864.0,407264.0
cold_online_random_h8_s7_state64_mac0,scratch,8,7,64,0,17352.0,15312.0,1664864.0,407264.0
cold_online_random_h8_s7_state64_mac16,scratch,8,7,64,16,17352.0,15960.0,1672496.0,346752.0
cold_online_random_h8_s7_state64_mac4,scratch,8,7,64,4,17352.0,15288.0,1672496.0,349284.0
