run_id,arm,protocol,phase,hidden_size,seed,checkpoint,state_capacity,service_case,slice_origin_instructions,simulation_instructions,observed_trace_origin_records,status,end_no_pref_reference,instructions,cycles,l2_loads,l2_load_miss,pf_requested,pf_issued,pf_useful,pf_late,pf_filled,pf_useless,pf_dropped,pq_merged_duplicate_proxy,ipc,l2_mpki,l2_load_miss_rate,useful_prefetch_coverage,miss_reduction,raw_accuracy,selected_accuracy,legacy_timeliness,request_pressure,cycles_saved_vs_stride,eligible_callbacks,admitted_decisions,completed_decisions,supervised_decisions,available_positive_decisions,positive_actions,completed_updates,training_sample_exposures,published_versions,state_evictions,input_drops,output_drops,training_drops,decoder_limit_drops,numerical_failures,warnings,host_seconds,simulator_wall_seconds,simulator_peak_rss_kib,worker_host_elapsed_seconds_since_initialization,worker_host_cpu_seconds,worker_peak_rss_bytes,worker_rss_scope
cold_frozen_i1m_h16_s7_state0_mac0,frozen,cold,final,16,7,i1m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61497175,404271,85022,487444,487444,118744,99,122123,3329,0,0,0.4065227386461248,3.40088,0.21030942115561096,0.5827525961406332,0.5827427808641369,0.24360541928919013,0.24360541928919013,0.9991669681849162,1.205735756460394,7000550.0,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,107.73374653421342,107.73374653421342,10760,,,,
cold_frozen_i1m_h8_s7_state0_mac0,frozen,cold,final,8,7,i1m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61566400,404271,85475,485458,485458,118291,25,121310,2974,0,0,0.4060656461966267,3.419,0.21142995663799777,0.5805294360142125,0.5805196207377162,0.24366886527773773,0.24366886527773773,0.9997887014435918,1.2008232101733738,6931325.0,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,104.30109764821827,104.30109764821827,10748,,,,
cold_frozen_i1m_h8_s7_state64_mac0,frozen,cold,final,8,7,i1m,64,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61566690,404271,85477,485437,485437,118288,25,121304,2971,0,0,0.40606373348965163,3.41908,0.21143490381452046,0.580514713099468,0.5805098054612199,0.2436732263918902,0.2436732263918902,0.9997886960858063,1.2007712648198856,6931035.0,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,106.8752641491592,106.8752641491592,10952,,,,
cold_frozen_i1m_h8_s7_state64_mac16,frozen,cold,final,8,7,i1m,64,16,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68889480,404271,202455,166466,166466,1310,2,2933,1607,0,0,0.3629001118893625,8.0982,0.500790311449498,0.006429006105101981,0.006424098466853811,0.007869474847716652,0.007869474847716652,0.9984756097560976,0.411768343512149,-391755.0,404271.0,152079.0,152062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252192.0,0.0,0.0,0.0,0.0,,115.89603252336383,115.89603252336383,10912,,,,
cold_frozen_i1m_h8_s7_state64_mac4,frozen,cold,final,8,7,i1m,64,4,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68958057,404271,203238,91858,91858,526,6,1607,1071,0,0,0.36253921713600484,8.12952,0.5027271310581268,0.002581417718537131,0.002581417718537131,0.005726229615275752,0.005726229615275752,0.9887218045112782,0.2272188705101281,-460332.0,404271.0,84108.0,84091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320163.0,0.0,0.0,0.0,0.0,,107.87449700012803,107.87449700012803,10920,,,,
cold_frozen_i20m_h16_s7_state0_mac0,frozen,cold,final,16,7,i20m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61452480,404271,84784,432486,432486,118982,108,123592,4556,0,0,0.4068184066778102,3.39136,0.20972070714941216,0.5839206140436977,0.5839107987672013,0.2751117955263292,0.2751117955263292,0.999093122848266,1.0697922927936954,7045245.0,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,105.59128569625318,105.59128569625318,10992,,,,
cold_frozen_i20m_h8_s7_state0_mac0,frozen,cold,final,8,7,i20m,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,61538423,404271,86101,457373,457373,117666,98,122053,4334,0,0,0.4062502544142218,3.44404,0.21297842288959634,0.5774621621091066,0.5774474391943621,0.2572648582229384,0.2572648582229384,0.9991678271797833,1.1313524838536526,6959302.0,404271.0,404271.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,105.88111502677202,105.88111502677202,10988,,,,
cold_none_h0_s7_state0_mac0,no_pref,cold,final,0,7,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,68963505,404271,203764,0,0,0,0,0,0,0,0,0.36251057715236484,8.15056,0.5040282384835915,0.0,0.0,NA,NA,NA,0.0,-465780.0,404271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,103.94635465741158,103.94635465741158,10256,,,,
cold_online_random_h16_s17_state0_mac0,scratch,cold,final,16,17,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,62580275,404271,100378,392070,392070,103391,279,106850,3425,0,1034,0.3994868990268899,4.01512,0.24829384249674105,0.5074056261164877,0.5073810879252468,0.26370546075955825,0.2644027659857404,0.99730876820681,0.9698197496233962,5917450.0,404271.0,404271.0,404271.0,404271.0,62624.0,122922.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,253.008381921798,253.008381921798,11256,253.83947400189936,131.65195,295682048,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
cold_online_random_h16_s27_state0_mac0,scratch,cold,final,16,27,,0,0,25000000,25000000,25000000,COMPLETE,new matched same-protocol no-prefetch run,25000000,63217806,404271,107721,361455,361455,96045,389,99156,3080,0,434,0.39545820365863377,4.30884,0.26645740109975735,0.47135411554543494,0.4713443002689386,0.26571772419803297,0.266037155733323,0.9959661530165709,0.8940908450024859,5279919.0,404271.0,404271.0,404271.0,404271.0,62298.0,122261.0,6316.0,404224.0,6316.0,0.0,0.0,0.0,0.0,0.0,0.0,,251.43497155606747,251.43497155606747,11008,252.29432398453355,129.631717,297758720,"entire Python worker including libraries, allocator, IPC, optimizer and measurement; separate from required predictor storage"
