method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_per_requested,useful_over_useful_plus_useless,log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0.20_bp1.00,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0.20_bp1.00.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00001_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00001_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00005_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p00005_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0001_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0001_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0005_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p0005_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p001_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p001_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p005_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p005_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p01_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p01_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p05_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p05_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p10_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p10_bp1p01.log
LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p20_bp1p01,0.3158,1.00031676,402,402,10,385,0.02487562,0.02487562,0.02531646,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.LSTM_omnetpp_s-874B_L2_replayidx_hex_th0p20_bp1p01.log
spp,0.3184,1.00855242,383364,383364,388,127,0.00101209,0.00101209,0.75339806,formal_NN_training/results/LSTM/draft/replay_compare/logs/620.omnetpp_s-874B.spp.log
