trace,prefetcher,demand,demand_hit,demand_miss,demand_miss_rate,covered_on_time,covered_on_time_rate,coverage_among_misses,late_prefetch,late_rate_among_misses,residual_miss,residual_miss_rate,residual_share_of_misses,original_miss_pool,pf_requested_events,pf_accepted_events,pf_duplicate_events,pf_duplicate_rate,pf_dropped_events,pf_dropped_rate,top_residual_pcs,top_residual_deltas,parse_error,event_file
602.gcc_s-734B,no_pref,404219,201088,203131,0.502527095460629,0,0.0,0.0,0,0.0,203131,0.502527095460629,1.0,203131,0,0,0,0.0,0,0.0,"[('4257721', 118240), ('4257546', 76898), ('10822177', 2399), ('10822172', 844), ('10798147', 577), ('4257687', 318), ('10822331', 316), ('4257926', 316), ('10822190', 306), ('10822480', 305)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.no_pref.events.csv.gz
602.gcc_s-734B,stride,404219,235942,168277,0.41630155930324897,34854,0.08622553615738003,0.1715838547538288,164,0.0009745835735127201,168277,0.41630155930324897,0.8284161452461712,203131,122156,122156,0,0.0,0,0.0,"[('4257721', 116878), ('4257546', 43993), ('10822177', 2103), ('10822172', 742), ('10798147', 566), ('4257687', 318), ('10822331', 316), ('4257926', 316), ('10822480', 305), ('10822190', 286)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.stride.events.csv.gz
602.gcc_s-734B,streamer,404219,388744,15475,0.03828370264633775,187663,0.4642607101595917,0.923820260118737,47,0.003037156704361874,15475,0.03828370264633775,0.07617973988126299,203138,1808879,1808879,847,0.00046824580306366537,0,0.0,"[('4257721', 6825), ('4257546', 4048), ('10822177', 1324), ('10822172', 489), ('10798147', 376), ('4257687', 291), ('10822331', 283), ('4257926', 247), ('10822480', 229), ('4248575', 229)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.streamer.events.csv.gz
602.gcc_s-734B,ampm,404219,387187,17032,0.0421355750224507,186100,0.4603939943446498,0.9161530433412757,600,0.035227806481916396,17032,0.0421355750224507,0.08384695665872438,203132,1424170,1424170,1015,0.000712695815808506,0,0.0,"[('4257721', 6902), ('4257546', 4318), ('10822177', 1643), ('10822172', 703), ('10798147', 481), ('4257687', 316), ('10822331', 313), ('10822480', 283), ('4257926', 265), ('10822190', 259)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.ampm.events.csv.gz
602.gcc_s-734B,spp,404219,333346,70873,0.1753331733540482,132253,0.3271815525742234,0.6510884869489874,384,0.005418142310894135,70873,0.1753331733540482,0.34891151305101265,203126,2254525,2254525,1846,0.0008187977511892749,0,0.0,"[('4257721', 38463), ('4257546', 25202), ('10822177', 2214), ('10822172', 823), ('10798147', 567), ('4257687', 317), ('4257926', 316), ('10822331', 313), ('10822190', 300), ('10822480', 298)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.spp.events.csv.gz
602.gcc_s-734B,ipcp,404219,201088,203131,0.502527095460629,0,0.0,0.0,1,4.92293150725394e-06,203131,0.502527095460629,1.0,203131,2,2,0,0.0,0,0.0,"[('4257721', 118240), ('4257546', 76898), ('10822177', 2399), ('10822172', 844), ('10798147', 577), ('4257687', 318), ('10822331', 316), ('4257926', 316), ('10822190', 306), ('10822480', 305)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.ipcp.events.csv.gz
602.gcc_s-734B,sms,404219,363050,41169,0.10184825552485163,161972,0.4007035790004923,0.7973378096986822,173,0.004202190968932935,41169,0.10184825552485163,0.2026621903013178,203141,343446,343446,0,0.0,0,0.0,"[('4257721', 21743), ('4257546', 13783), ('10822177', 1734), ('10822172', 696), ('10798147', 505), ('10822331', 307), ('4257687', 296), ('10822190', 250), ('4248575', 238), ('10822386', 236)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.sms.events.csv.gz
602.gcc_s-734B,sandbox,404219,397078,7141,0.017666166112923935,195999,0.4848831945059485,0.9648469036132716,43,0.006021565607057835,7141,0.017666166112923935,0.035153096386728366,203140,1926225,1926225,3542,0.0018388298355591897,0,0.0,"[('4257721', 2732), ('4257546', 1340), ('10822177', 704), ('10822172', 328), ('4257926', 299), ('4248575', 280), ('10798147', 262), ('10822331', 243), ('4257687', 212), ('10822386', 176)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.sandbox.events.csv.gz
602.gcc_s-734B,power7,404219,386913,17306,0.042813425395639496,185829,0.45972356569087547,0.9148054249636941,126,0.007280711891829423,17306,0.042813425395639496,0.08519457503630591,203135,1419281,1419281,38580,0.02718277775859749,0,0.0,"[('4257721', 7940), ('4257546', 4570), ('10822177', 1387), ('10822172', 521), ('10798147', 400), ('4257687', 296), ('10822331', 285), ('4257926', 249), ('10822480', 232), ('4248575', 229)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/602.gcc_s-734B.power7.events.csv.gz
619.lbm_s-4268B,no_pref,295037,398,294639,0.9986510166521487,0,0.0,0.0,0,0.0,294639,0.9986510166521487,1.0,294639,0,0,0,0.0,0,0.0,"[('4201648', 117754), ('4201986', 35713), ('4202087', 35379), ('4202035', 35300), ('4201795', 23084), ('4201691', 23067), ('4201748', 22991), ('4202048', 334), ('4202100', 281), ('4202061', 192)]",[],0,formal_NN_training/results/base_prefetcher_zoo/residual_audit/events/619.lbm_s-4268B.no_pref.events.csv.gz
