trace,l2_capacity,method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_over_useful_plus_useless,log
602.gcc_s-734B,256K,no_prefetch,0.55180000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_256K.no_prefetch.log
602.gcc_s-734B,256K,spp,1.44500000,2.61870243,2762651,2602946,140641,696,0.05403147,0.99507560,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_256K.spp.log
602.gcc_s-734B,256K,LSTM_th0.20_bp1.00,0.71900000,1.30300834,112452,112452,24945,88050,0.22182798,0.22076198,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_256K.LSTM_th0.20_bp1.00.log
602.gcc_s-734B,512K,no_prefetch,0.54270000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_512K.no_prefetch.log
602.gcc_s-734B,512K,spp,1.44400000,2.66077022,3006672,2739031,140717,652,0.05137474,0.99538796,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_512K.spp.log
602.gcc_s-734B,512K,LSTM_th0.20_bp1.00,0.71750000,1.32209324,112446,112446,64473,48530,0.57336855,0.57054237,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_512K.LSTM_th0.20_bp1.00.log
602.gcc_s-734B,1M,no_prefetch,0.53800000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_1M.no_prefetch.log
602.gcc_s-734B,1M,spp,1.42400000,2.64684015,2861717,2678127,139389,615,0.05204720,0.99560727,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_1M.spp.log
602.gcc_s-734B,1M,LSTM_th0.20_bp1.00,0.71270000,1.32472119,112440,112440,88772,24263,0.78950551,0.78534967,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_1M.LSTM_th0.20_bp1.00.log
602.gcc_s-734B,2M,no_prefetch,0.53090000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_2M.no_prefetch.log
602.gcc_s-734B,2M,spp,1.40500000,2.64644943,2761431,2608237,139363,590,0.05343188,0.99578430,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_2M.spp.log
602.gcc_s-734B,2M,LSTM_th0.20_bp1.00,0.70630000,1.33038237,112445,112445,91529,21460,0.81398906,0.81007001,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/602.gcc_s-734B.L2_2M.LSTM_th0.20_bp1.00.log
619.lbm_s-4268B,256K,no_prefetch,0.43480000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_256K.no_prefetch.log
619.lbm_s-4268B,256K,spp,0.50590000,1.16352346,4530447,1850992,68407,1,0.03695694,0.99998538,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_256K.spp.log
619.lbm_s-4268B,256K,LSTM_th0.20_bp1.00,0.45710000,1.05128795,166217,166217,155140,7396,0.93335820,0.95449623,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_256K.LSTM_th0.20_bp1.00.log
619.lbm_s-4268B,512K,no_prefetch,0.43450000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_512K.no_prefetch.log
619.lbm_s-4268B,512K,spp,0.50770000,1.16846951,4534355,2587585,88474,0,0.03419173,1.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_512K.spp.log
619.lbm_s-4268B,512K,LSTM_th0.20_bp1.00,0.45680000,1.05132336,166217,166217,157564,5946,0.94794155,0.96363525,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_512K.LSTM_th0.20_bp1.00.log
619.lbm_s-4268B,1M,no_prefetch,0.43480000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_1M.no_prefetch.log
619.lbm_s-4268B,1M,spp,0.50970000,1.17226311,4566024,3279414,83222,0,0.02537709,1.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_1M.spp.log
619.lbm_s-4268B,1M,LSTM_th0.20_bp1.00,0.45580000,1.04829807,166217,166217,154971,5942,0.93234146,0.96307321,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_1M.LSTM_th0.20_bp1.00.log
619.lbm_s-4268B,2M,no_prefetch,0.44370000,1.00000000,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_2M.no_prefetch.log
619.lbm_s-4268B,2M,spp,0.53850000,1.21365788,4550247,3786827,83407,0,0.02202556,1.00000000,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_2M.spp.log
619.lbm_s-4268B,2M,LSTM_th0.20_bp1.00,0.46800000,1.05476673,166217,166217,157366,5560,0.94675033,0.96587408,formal_NN_training/results/LSTM/draft/capacity_sweep/logs/619.lbm_s-4268B.L2_2M.LSTM_th0.20_bp1.00.log
