trace,keep,method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_over_useful_plus_useless,log
602.gcc_s-734B,True,LSTM_gcc_s-734B_L2_aligned_hex_th0.20_bp1.00,0.71750000,1.32209324,112446,112446,64473,48530,0.57336855,0.57054237,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.20_bp1.00.log
602.gcc_s-734B,True,LSTM_gcc_s-734B_L2_aligned_hex_th0.25_bp1.00,0.71720000,1.32154045,112388,112388,64420,48533,0.57319287,0.57032571,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.25_bp1.00.log
602.gcc_s-734B,True,LSTM_gcc_s-734B_L2_aligned_hex_th0.30_bp1.00,0.54620000,1.00644924,96507,96507,0,98883,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.30_bp1.00.log
602.gcc_s-734B,True,LSTM_gcc_s-734B_L2_aligned_hex_th0.35_bp1.00,0.63710000,1.17394509,84776,84776,16348,70171,0.19283760,0.18895272,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.35_bp1.00.log
602.gcc_s-734B,True,LSTM_gcc_s-734B_L2_aligned_hex_th0.40_bp1.00,0.55210000,1.01732080,7545,7545,3933,4142,0.52127237,0.48705882,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.40_bp1.00.log
602.gcc_s-734B,False,LSTM_gcc_s-734B_L2_aligned_th0.20_bp1.00,0.50290000,0.92666298,112514,112514,0,113555,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_th0.20_bp1.00.log
602.gcc_s-734B,False,LSTM_gcc_s-734B_L2_aligned_th0.40_bp1.00,0.53960000,0.99428782,7562,7562,0,8130,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_th0.40_bp1.00.log
602.gcc_s-734B,False,LSTM_gcc_s-734B_L2_threshold_th0.20_bp1.00,0.54030000,0.99557767,5695,5695,0,5577,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_threshold_th0.20_bp1.00.log
602.gcc_s-734B,False,LSTM_gcc_s-734B_L2_threshold_th0.40_bp1.00,0.54130000,0.99742031,2505,2505,0,2419,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_threshold_th0.40_bp1.00.log
602.gcc_s-734B,False,LSTM_gcc_s-734B_action_th0.50_bp0.60,0.54250000,0.99963147,0,0,0,0,0.00000000,0.00000000,formal_NN_training/results/LSTM/draft/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_action_th0.50_bp0.60.log
