method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_per_requested,useful_over_useful_plus_useless,log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.25_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.25_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.30_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.30_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.35_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.35_bp1.00.log
LSTM_no_timing_manual,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_no_timing_manual.log
LSTM_timing_0_5,0.4561,1.04971231,165987,165987,156787,5680,0.94457397,0.94457397,0.96503905,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_0_5.log
LSTM_timing_1_5,0.4568,1.05132336,165987,165987,157611,5853,0.94953822,0.94953822,0.96419395,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_1_5.log
spp,0.5077,1.16846951,4534355,2587585,88474,0,0.03419173,0.01951193,1.00000000,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log
