method,ipc,speedup_vs_no_prefetch,requested,issued,useful,useless,useful_per_issued,useful_per_requested,useful_over_useful_plus_useless,log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.25_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.25_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.30_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.30_bp1.00.log
LSTM_lbm_s-4268B_L2_replayidx_hex_th0.35_bp1.00,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.35_bp1.00.log
LSTM_no_timing_manual,0.4568,1.05132336,166217,166217,157564,5946,0.94794155,0.94794155,0.96363525,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_no_timing_manual.log
LSTM_timing_0_5,0.4561,1.04971231,165987,165987,156787,5680,0.94457397,0.94457397,0.96503905,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_0_5.log
LSTM_timing_1_5,0.4568,1.05132336,165987,165987,157611,5853,0.94953822,0.94953822,0.96419395,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_1_5.log
LSTM_timing_2_3,0.451,1.03797468,143251,143251,135972,4941,0.94918709,0.94918709,0.96493581,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_2_3.log
LSTM_timing_2_4,0.4561,1.04971231,165388,165388,156184,6114,0.94434905,0.94434905,0.96232856,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_2_4.log
LSTM_timing_3_3,0.4502,1.03613349,136012,136012,129218,5022,0.95004853,0.95004853,0.96258939,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_3_3.log
LSTM_timing_3_4,0.4555,1.04833142,158149,158149,149746,5776,0.94686656,0.94686656,0.96286056,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_3_4.log
LSTM_timing_4_4,0.4356,1.00253165,22137,22137,20745,938,0.93711885,0.93711885,0.95674030,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_timing_4_4.log
spp,0.5077,1.16846951,4534355,2587585,88474,0,0.03419173,0.01951193,1.00000000,formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log
