trace,warmup,sim,method,ipc,speedup_vs_no_prefetch,prefetches_issued,accesses,log,pfetch
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_action_th0.50_bp0.60,0.5425,0.9996,637,4156616,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_action_th0.50_bp0.60.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_action_th0.50_bp0.60.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_threshold_th0.20_bp1.00,0.5069,0.9340,97076,4155936,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_threshold_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_threshold_th0.20_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_threshold_th0.40_bp1.00,0.5278,0.9725,33441,4155780,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_threshold_th0.40_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_threshold_th0.40_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_threshold_th0.40_bp1.00,0.5413,0.9974,3395,432220,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_threshold_th0.40_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_threshold_th0.40_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_threshold_th0.20_bp1.00,0.5403,0.9956,9952,432219,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_threshold_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_threshold_th0.20_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_th0.40_bp1.00,0.5396,0.9943,45999,432221,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_th0.40_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_th0.40_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_th0.20_bp1.00,0.5029,0.9267,235504,432252,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_th0.20_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_hex_th0.20_bp1.00,0.7175,1.3221,235504,431638,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_hex_th0.20_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_hex_th0.40_bp1.00,0.5521,1.0173,45999,435684,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.40_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_hex_th0.40_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_hex_th0.25_bp1.00,0.7172,1.3215,235351,431644,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.25_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_hex_th0.25_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_hex_th0.30_bp1.00,0.5462,1.0064,225385,455792,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.30_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_hex_th0.30_bp1.00.txt
602.gcc_s-734B,25000000,25000000,no_prefetch,0.5427,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.no_prefetch.log,NA
602.gcc_s-734B,25000000,25000000,spp,1.444,2.6608,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.spp.log,NA
602.gcc_s-734B,25000000,25000000,LSTM_gcc_s-734B_L2_aligned_hex_th0.35_bp1.00,0.6371,1.1739,173423,432997,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/602.gcc_s-734B.LSTM_gcc_s-734B_L2_aligned_hex_th0.35_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_gcc_s-734B_L2_aligned_hex_th0.35_bp1.00.txt
