trace,warmup,sim,method,ipc,speedup_vs_no_prefetch,prefetches_issued,accesses,log,pfetch
619.lbm_s-4268B,25000000,25000000,no_prefetch,0.4345,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.no_prefetch.log,NA
619.lbm_s-4268B,25000000,25000000,spp,0.5077,1.1685,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log,NA
619.lbm_s-4268B,25000000,25000000,LSTM_lbm_s-4268B_L2_aligned_hex_th0.20_bp1.00,0.4341,0.9991,11316,587310,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_aligned_hex_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_lbm_s-4268B_L2_aligned_hex_th0.20_bp1.00.txt
619.lbm_s-4268B,25000000,25000000,no_prefetch,0.4345,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.no_prefetch.log,NA
619.lbm_s-4268B,25000000,25000000,spp,0.5077,1.1685,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log,NA
619.lbm_s-4268B,25000000,25000000,LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00,0.4568,1.0513,324414,587312,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_lbm_s-4268B_L2_replayidx_hex_th0.20_bp1.00.txt
619.lbm_s-4268B,25000000,25000000,no_prefetch,0.4345,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.no_prefetch.log,NA
619.lbm_s-4268B,25000000,25000000,spp,0.5077,1.1685,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log,NA
619.lbm_s-4268B,25000000,25000000,LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00,0.4568,1.0513,324414,587312,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_lbm_s-4268B_L2_replayidx_hex_th0.10_bp1.00.txt
619.lbm_s-4268B,25000000,25000000,no_prefetch,0.4345,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.no_prefetch.log,NA
619.lbm_s-4268B,25000000,25000000,spp,0.5077,1.1685,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log,NA
619.lbm_s-4268B,25000000,25000000,LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00,0.4568,1.0513,324414,587312,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00.log,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/prefetch_lists/prefetch_list_LSTM_lbm_s-4268B_L2_replayidx_hex_th0.15_bp1.00.txt
619.lbm_s-4268B,25000000,25000000,no_prefetch,0.4345,1.0000,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.no_prefetch.log,NA
619.lbm_s-4268B,25000000,25000000,spp,0.5077,1.1685,NA,NA,/scratch/qianruw/cache/formal_NN_training/results/replay_compare/logs/619.lbm_s-4268B.spp.log,NA
