trace,config,IPC,LLC_MPKI
619.lbm_s-4268B,lru,0.4523,45.795
605.mcf_s-994B,lru,0.439,11.964
620.omnetpp_s-874B,lru,0.2806,14.141
602.gcc_s-734B,lru,0.5564,8.353
623.xalancbmk_s-700B,lru,1.11,1.855
619.lbm_s-4268B,lru_ipstride,0.4835,45.795
605.mcf_s-994B,lru_ipstride,0.4415,12.019
620.omnetpp_s-874B,lru_ipstride,0.2822,14.146
602.gcc_s-734B,lru_ipstride,1.024,8.416
623.xalancbmk_s-700B,lru_ipstride,1.113,1.888
619.lbm_s-4268B,lru_spp,0.5321,88.471
605.mcf_s-994B,lru_spp,0.43,17.335
620.omnetpp_s-874B,lru_spp,0.2833,16.771
602.gcc_s-734B,lru_spp,1.33,19.239
623.xalancbmk_s-700B,lru_spp,1.119,2.455
619.lbm_s-4268B,srrip_spp,0.52,122.653
605.mcf_s-994B,srrip_spp,0.4049,20.374
620.omnetpp_s-874B,srrip_spp,0.2786,20.931
602.gcc_s-734B,srrip_spp,1.319,19.223
623.xalancbmk_s-700B,srrip_spp,1.119,2.474
