candidates,issued,suppressed,issued_ratio,useful,available_useful,useful_kept_ratio,bad_suppressed,bad_suppressed_ratio,accuracy,estimated_reward,feature_set,trace,num_features,num_states,scope
58457,57319,1138,0.9805326992490206,54265,54418,0.9971884302987982,985,0.24387224560534787,0.9467192379490221,84212.296875,F0_candidate,ALL,3,187,spp_l2_issue
58457,57319,1138,0.9805326992490206,54265,54418,0.9971884302987982,985,0.24387224560534787,0.9467192379490221,84212.296875,F0_candidate,602.gcc_s-734B,3,187,spp_l2_issue
58457,57319,1138,0.9805326992490206,54265,54418,0.9971884302987982,985,0.24387224560534787,0.9467192379490221,84212.296875,F1_candidate_mshr_pq,ALL,5,187,spp_l2_issue
58457,57319,1138,0.9805326992490206,54265,54418,0.9971884302987982,985,0.24387224560534787,0.9467192379490221,84212.296875,F1_candidate_mshr_pq,602.gcc_s-734B,5,187,spp_l2_issue
58457,57329,1128,0.9807037651607164,54268,54418,0.9972435591164688,978,0.24213914335231493,0.9466064295557223,84208.796875,F2_add_recent_accuracy,ALL,8,461,spp_l2_issue
58457,57329,1128,0.9807037651607164,54268,54418,0.9972435591164688,978,0.24213914335231493,0.9466064295557223,84208.796875,F2_add_recent_accuracy,602.gcc_s-734B,8,461,spp_l2_issue
58457,57329,1128,0.9807037651607164,54268,54418,0.9972435591164688,978,0.24213914335231493,0.9466064295557223,84208.796875,F3_add_bandwidth,ALL,9,461,spp_l2_issue
58457,57329,1128,0.9807037651607164,54268,54418,0.9972435591164688,978,0.24213914335231493,0.9466064295557223,84208.796875,F3_add_bandwidth,602.gcc_s-734B,9,461,spp_l2_issue
58457,57305,1152,0.9802932069726465,54260,54418,0.9970965489360138,994,0.24610051993067592,0.9468632754558939,84214.796875,F4_add_cache_pressure,ALL,11,673,spp_l2_issue
58457,57305,1152,0.9802932069726465,54260,54418,0.9970965489360138,994,0.24610051993067592,0.9468632754558939,84214.796875,F4_add_cache_pressure,602.gcc_s-734B,11,673,spp_l2_issue
