trace,threshold,degree,baseline_IPC,nn_IPC,speedup,model,prefetches_issued,accesses,warmup,sim
602.gcc_s-734B,030,1,0.5427,0.544,1.0024,GRU_V9_gcc_s-734B_th030_deg1,22782,4155994,25000000,25000000
602.gcc_s-734B,030,2,0.5427,0.5463,1.0066,GRU_V9_gcc_s-734B_th030_deg2,61287,4154684,25000000,25000000
602.gcc_s-734B,030,4,0.5427,0.578,1.0650,GRU_V9_gcc_s-734B_th030_deg4,61287,4158980,25000000,25000000
602.gcc_s-734B,050,1,0.5427,0.544,1.0024,GRU_V9_gcc_s-734B_th050_deg1,22740,4155935,25000000,25000000
602.gcc_s-734B,050,2,0.5427,0.5801,1.0689,GRU_V9_gcc_s-734B_th050_deg2,61212,4158985,25000000,25000000
602.gcc_s-734B,050,4,0.5427,0.5781,1.0652,GRU_V9_gcc_s-734B_th050_deg4,61212,4158819,25000000,25000000
602.gcc_s-734B,070,1,0.5427,0.5442,1.0028,GRU_V9_gcc_s-734B_th070_deg1,22653,4155913,25000000,25000000
602.gcc_s-734B,070,2,0.5427,0.5796,1.0680,GRU_V9_gcc_s-734B_th070_deg2,61083,4158917,25000000,25000000
602.gcc_s-734B,070,4,0.5427,0.578,1.0650,GRU_V9_gcc_s-734B_th070_deg4,61082,4158844,25000000,25000000
602.gcc_s-734B,090,1,0.5427,0.5433,1.0011,GRU_V9_gcc_s-734B_th090_deg1,22221,4156025,25000000,25000000
602.gcc_s-734B,030,1,0.5427,0.544,1.0024,GRU_V9_gcc_s-734B_th030_deg1,22782,4155994,25000000,25000000
602.gcc_s-734B,030,2,0.5427,0.5452,1.0046,GRU_V9_gcc_s-734B_th030_deg2,82393,4154597,25000000,25000000
602.gcc_s-734B,030,4,0.5427,0.5446,1.0035,GRU_V9_gcc_s-734B_th030_deg4,194528,4153751,25000000,25000000
602.gcc_s-734B,050,1,0.5427,0.544,1.0024,GRU_V9_gcc_s-734B_th050_deg1,22740,4155935,25000000,25000000
602.gcc_s-734B,050,2,0.5427,0.5453,1.0048,GRU_V9_gcc_s-734B_th050_deg2,82293,4154642,25000000,25000000
602.gcc_s-734B,050,4,0.5427,0.545,1.0042,GRU_V9_gcc_s-734B_th050_deg4,180968,4153854,25000000,25000000
602.gcc_s-734B,070,1,0.5427,0.5442,1.0028,GRU_V9_gcc_s-734B_th070_deg1,22653,4155913,25000000,25000000
602.gcc_s-734B,070,2,0.5427,0.5446,1.0035,GRU_V9_gcc_s-734B_th070_deg2,82063,4154582,25000000,25000000
602.gcc_s-734B,070,4,0.5427,0.5444,1.0031,GRU_V9_gcc_s-734B_th070_deg4,177692,4153922,25000000,25000000
602.gcc_s-734B,090,1,0.5427,0.5433,1.0011,GRU_V9_gcc_s-734B_th090_deg1,22221,4156025,25000000,25000000
602.gcc_s-734B,090,2,0.5427,0.5794,1.0676,GRU_V9_gcc_s-734B_th090_deg2,80713,4158002,25000000,25000000
602.gcc_s-734B,090,4,0.5427,0.5444,1.0031,GRU_V9_gcc_s-734B_th090_deg4,173509,4153881,25000000,25000000
